GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
294,07087,75871.41,3737.07
294,07087,75871.41,3804.43
294,07087,75871.41,1299.51
294,07087,75871.41,4931.56
294,07087,75871.41,4279.10
295,07087,75871.41,164.54
645,07089,477718.36,58.68
645,07089,477718.36,4708.36
646,07087,75871.41,11721.51
646,07089,477718.36,3002.05
646,07087,75871.41,877.00
646,07087,75871.41,5928.01
646,07087,75871.41,2112.44
646,07089,477718.36,22.73
647,07087,75871.41,126.42
648,07087,75871.41,18324.03
648,07087,75871.41,2256.35
997,07089,477718.36,9423.29
997,07054,121557.37,11084.99
998,07089,477718.36,5488.83
998,07089,477718.36,1029.67
998,07089,477718.36,36803.08
998,07089,477718.36,3323.66
998,07089,477718.36,4626.69
999,07089,477718.36,18402.49
999,07087,75871.41,2607.51
999,07089,477718.36,7011.09
1000,07087,75871.41,1921.77
1000,07035,30190.11,8685.59
1000,07087,75871.41,1773.91
1000,07102,126617.21,4036.83
1000,07035,30190.11,2444.95
1001,07035,30190.11,9424.04
1001,07087,75871.41,10006.25
1349,07054,121557.37,18510.57
1349,07054,121557.37,3765.00
1350,07054,121557.37,1622.75
1350,07054,121557.37,15567.08
1350,07054,121557.37,5088.73
1350,07054,121557.37,3826.14
1350,07054,121557.37,3226.83
1350,07054,121557.37,2570.97
1350,07054,121557.37,524.63
1351,07089,477718.36,407.55
1351,07089,477718.36,715.94
1351,07089,477718.36,17679.56
1351,07089,477718.36,11652.69
1351,07054,121557.37,6867.62
1351,07089,477718.36,4027.42
1351,07089,477718.36,4865.75
1352,07089,477718.36,1689.25
1352,07089,477718.36,1021.80
1352,07089,477718.36,7348.78
1352,07089,477718.36,18324.74
1352,07089,477718.36,6891.77
1352,07089,477718.36,1470.28
1352,07089,477718.36,2581.44
1352,07089,477718.36,151.65
1352,07089,477718.36,921.17
1352,07089,477718.36,192.98
1352,07089,477718.36,8178.36
1353,07055,12404.87,6671.57
1353,07035,30190.11,7706.90
1353,07102,126617.21,857.35
1353,07055,12404.87,2553.72
1353,07102,126617.21,6694.05
1353,07102,126617.21,14915.79
1353,07055,12404.87,486.97
1353,07102,126617.21,999.76
1353,07055,12404.87,2692.61
1354,07035,30190.11,1928.61
1701,07054,121557.37,11328.09
1702,07054,121557.37,1111.66
1702,07054,121557.37,1233.39
1703,07054,121557.37,7026.57
1703,07054,121557.37,3991.73
1703,07054,121557.37,4075.84
1703,07054,121557.37,5069.40
1703,07037,106950.18,6177.07
1703,07054,121557.37,7156.35
1703,07054,121557.37,2748.01
1703,07054,121557.37,1778.98
1704,07089,477718.36,17813.83
1704,07089,477718.36,9330.69
