GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
30177,01001,2731773.575,5498.566003
30178,01001,2731773.575,339225.3708
30179,01001,2731773.575,133319.3783
30530,01001,2731773.575,14187.42772
30531,01001,2731773.575,1630809.085
30532,01001,2731773.575,534888.6271
30884,01001,2731773.575,46509.87429
30885,01001,2731773.575,27335.2465
31239,01002,100437.7479,425.6110395
31240,01002,100437.7479,51416.89516
31593,01002,100437.7479,735.651739
31945,01002,100437.7479,28428.31137
31946,01002,100437.7479,19431.27857
30173,01003,168985.1112,108492.0795
30526,01003,168985.1112,8010.365497
30527,01003,168985.1112,52482.66623
32649,01004,31766.6022,31766.60216
30531,01005,313873.6625,4095.292762
30883,01005,313873.6625,117733.9145
30884,01005,313873.6625,192044.4553
31237,01006,98414.222,609.4428025
31590,01006,98414.222,97804.77921
31589,01007,119674.5116,2621.332063
31590,01007,119674.5116,12023.17102
31943,01007,119674.5116,105030.0085
31589,01008,78633.6256,78633.6256
31944,01009,55818.6974,45067.38239
31945,01009,55818.6974,10751.31503
30535,01010,50853.7652,50853.76517
30884,01011,87436.3008,7069.430119
31237,01011,87436.3008,80366.87066
69922,02001,4310458.26,47946.78824
70275,02001,4310458.26,258447.3191
70628,02001,4310458.26,68514.48089
70980,02001,4310458.26,92665.90202
70981,02001,4310458.26,14833.27168
71333,02001,4310458.26,258853.2663
71334,02001,4310458.26,5447.181328
71686,02001,4310458.26,140875.4592
72743,02001,4310458.26,34363.81014
72744,02001,4310458.26,21850.90895
73802,02001,4310458.26,77649.80002
73803,02001,4310458.26,83.12883809
74161,02001,4310458.26,83547.63802
75564,02001,4310458.26,57181.51091
75565,02001,4310458.26,222756.9788
75917,02001,4310458.26,387651.8901
75918,02001,4310458.26,185200.6456
76270,02001,4310458.26,1014299.006
76271,02001,4310458.26,351658.3779
76274,02001,4310458.26,47315.58721
76622,02001,4310458.26,135097.1845
76623,02001,4310458.26,371442.033
76624,02001,4310458.26,342125.6695
76627,02001,4310458.26,29305.98793
77330,02001,4310458.26,61344.4335
72052,02002,7428884.11,273345.6954
76993,02002,7428884.11,1155.301726
77345,02002,7428884.11,105690.7509
77346,02002,7428884.11,13760.63504
77347,02002,7428884.11,87470.22204
77698,02002,7428884.11,43020.3289
77699,02002,7428884.11,156722.8724
78051,02002,7428884.11,121601.7298
78403,02002,7428884.11,51738.7189
78404,02002,7428884.11,56183.26129
78407,02002,7428884.11,11392.77542
78756,02002,7428884.11,60356.8598
78757,02002,7428884.11,66442.531
78758,02002,7428884.11,17132.26067
78759,02002,7428884.11,72261.69223
78760,02002,7428884.11,48676.1831
79106,02002,7428884.11,198953.4858
79107,02002,7428884.11,1561603.124
79108,02002,7428884.11,1516507.876
79109,02002,7428884.11,45583.05529
79113,02002,7428884.11,117104.7545
79114,02002,7428884.11,68948.92905
79459,02002,7428884.11,225321.4491
79460,02002,7428884.11,1578720.002
79461,02002,7428884.11,846503.2501
79468,02002,7428884.11,82686.36574
79098,02003,706090.955,107130.227
79099,02003,706090.955,4885.664439
79447,02003,706090.955,3676.479243
79448,02003,706090.955,590398.5843
78737,02004,1262934.672,672.0627063
78738,02004,1262934.672,133267.5972
78739,02004,1262934.672,7430.753424
79090,02004,1262934.672,135227.1843
79091,02004,1262934.672,489659.3377
79092,02004,1262934.672,1999.242656
79093,02004,1262934.672,403925.4283
79094,02004,1262934.672,90753.06587
78032,02005,1115221.2,35098.9086
78033,02005,1115221.2,57817.96216
78384,02005,1115221.2,44544.39188
78737,02005,1115221.2,845498.7
78738,02005,1115221.2,49593.37348
79090,02005,1115221.2,76952.37559
