GRIDCODE,CVE_ENT&CVE_MUN,Fa,USs4ginMUNICIPIO (m2)
294,07087,0.236112998,115375920.2
295,07087,0.038379864,115375920.2
645,07089,0.004207749,695529726.9
646,07089,0.025040501,695529726.9
646,07089,0.018561173,695529726.9
646,07087,0.019544414,115375920.2
646,07087,0.037873657,115375920.2
646,07087,0.000236283,115375920.2
647,07087,0.089049165,115375920.2
647,07087,0.248263975,115375920.2
648,07087,0.003392756,115375920.2
648,07087,0.190531413,115375920.2
997,07089,0.001056459,695529726.9
997,07054,0.015519139,244403394.5
998,07089,0.102568905,695529726.9
998,07054,0.002081446,244403394.5
999,07089,0.113313508,695529726.9
999,07089,0.000615183,695529726.9
999,07035,0.002076409,92077538.21
999,07087,0.010747104,115375920.2
1000,07102,0.025821295,75802490.21
1000,07089,0.001204044,695529726.9
1000,07035,0.712912097,92077538.21
1000,07087,0.108879236,115375920.2
1001,07035,0.077437681,92077538.21
1001,07087,0.016989136,115375920.2
1349,07054,0.065834532,244403394.5
1350,07054,0.011379817,244403394.5
1350,07054,0.288205921,244403394.5
1351,07089,0.078256806,695529726.9
1351,07054,0.10742745,244403394.5
1352,07102,0.00051078,75802490.21
1352,07089,0.00747649,695529726.9
1352,07089,0.083261883,695529726.9
1353,07102,0.318133537,75802490.21
1353,07055,1,22828068.35
1353,07089,0.003216023,695529726.9
1353,07035,0.179149536,92077538.21
1354,07035,0.028424277,92077538.21
1702,07037,0.007754462,97357485.07
1702,07054,0.173555529,244403394.5
1703,07089,0.000355375,695529726.9
1703,07089,0.001582791,695529726.9
1703,07037,0.004266872,97357485.07
1703,07037,0.042154833,97357485.07
1703,07054,0.00121563,244403394.5
1703,07054,0.144911316,244403394.5
1703,07054,0.115215832,244403394.5
1704,07089,0.019283475,695529726.9
1704,07089,0.04449528,695529726.9
1704,07089,0.014914638,695529726.9
1704,07037,0.010202583,97357485.07
1704,07054,0.015354674,244403394.5
1704,07054,0.054095916,244403394.5
1705,07089,0.048892457,695529726.9
1705,07089,0.000224415,695529726.9
1706,07102,0.132181066,75802490.21
1706,07102,0.072251828,75802490.21
1707,07102,2.12056E-08,75802490.21
2055,07037,0.000990798,97357485.07
2055,07054,0.001217716,244403394.5
2056,07089,0.001552171,695529726.9
2056,07037,0.370431303,97357485.07
2056,07037,0.011982847,97357485.07
2056,07054,0.003603323,244403394.5
2056,07054,0.000335177,244403394.5
2056,07054,4.6582E-05,244403394.5
2057,07089,0.001344286,695529726.9
2057,07037,0.016507725,97357485.07
2057,07037,0.071057303,97357485.07
2058,07089,0.056708292,695529726.9
2058,07037,0.022570546,97357485.07
2059,07102,0.315922488,75802490.21
2059,07089,0.043725298,695529726.9
2059,07015,0.094971676,93958824.81
2060,07102,0.135178985,75802490.21
2060,07015,0.069927027,93958824.81
2406,07071,0.010801609,201058411.8
2407,07040,0.0157266,192522402.1
2407,07071,0.000301642,201058411.8
2408,07040,0.351826861,192522402.1
2408,07037,0.00202921,97357485.07
2408,07071,0.005080214,201058411.8
2409,07040,0.052321244,192522402.1
2409,07037,0.014762667,97357485.07
2409,07103,0.005281418,115261601.1
2409,07103,0.040041861,115261601.1
2410,07089,0.011521389,695529726.9
2410,07037,0.414462296,97357485.07
2410,07103,0.109193098,115261601.1
2411,07089,0.107158689,695529726.9
2411,07037,0.010197762,97357485.07
2412,07089,0.036952789,695529726.9
2412,07015,0.544155605,93958824.81
2413,07015,0.278339554,93958824.81
2413,07105,0.97333134,47151170.22
2414,07105,0.02666866,47151170.22
2759,07003,0.198916508,75687136.5
2759,07071,0.140375873,201058411.8
2760,07003,0.000782158,75687136.5
2760,07040,8.76209E-05,192522402.1
2760,07071,0.289124102,201058411.8
2760,07071,0.022980498,201058411.8
2761,07040,0.049900725,192522402.1
2761,07040,0.108284634,192522402.1
2761,07071,0.003620703,201058411.8
2761,07071,0.011221679,201058411.8
2761,07071,0.097548425,201058411.8
2762,07040,0.101794193,192522402.1
