GRIDCODE,CVENTMUN,Suma de Fter
294,7087,0.391039404
645,7089,0.028035418
646,7087,0.341358038
646,7089,0.000133677
997,7054,0.115002625
997,7089,0.055419293
998,7089,0.046756751
999,7087,0.110701934
999,7089,0.041232879
1000,7035,1
1000,7087,0.156900624
1000,7102,0.053549003
1349,7054,0.231100624
1350,7054,0.319583795
1351,7054,0.071249015
1351,7089,0.120832203
1352,7089,0.119901802
1353,7055,1
1353,7102,0.299918393
1701,7054,0.117524623
1702,7054,0.024329081
1703,7037,0.162979787
1703,7054,0.121210239
1705,7089,0.001308803
1706,7102,0.352889994
1707,7102,0.263733427
2056,7037,0.389245321
2057,7037,0.196179974
2058,7089,0.016808724
2059,7089,0.098136202
2059,7102,0.027188671
2060,7102,0.002720512
2409,7103,0.031349393
2410,7037,0.251594918
2410,7089,0.024280592
2410,7103,0.4822843
2411,7089,0.044139652
2412,7089,0.07090914
2758,7003,0.155024404
2762,7103,0.39053759
2763,7089,0.080740539
2763,7103,0.095828716
2764,7089,0.02786963
2765,7089,0.127707274
3111,7003,0.637600394
3112,7003,0.18047983
3113,7032,0.040129451
3113,7071,1
3117,7057,0.128104463
3118,7057,0.158032917
3118,7089,0.095787422
3461,7051,0.098044816
3462,7051,0.324840024
3464,7001,0.591272575
3464,7003,0.008054429
3465,7001,0.408727425
3465,7003,0.018840943
3467,7032,0.959870549
3468,7057,0.167641682
3469,7057,0.019140539
3470,7057,0.304549373
3471,7053,1
3471,7057,0.075036459
3812,7069,0.323259817
3813,7051,0.171055641
3813,7069,0.096937023
3814,7051,0.14201244
3815,7051,0.127500922
3816,7051,0.022887148
3823,7057,0.136407356
3824,7057,0.011087211
4122,20439,0.014749231
4125,20324,0.12112189
4128,20413,0.148603241
4164,7069,0.061992152
4165,7069,0.052703256
4167,7051,0.059491969
4168,7051,0.05416704
4176,7036,0.380811001
4176,7070,0.759654544
4177,7010,1
4177,7036,0.056866831
4177,7070,0.240345456
4474,20401,0.66546736
4475,20439,0.569700901
4476,20439,0.16279106
4478,20439,0.142898478
4481,20413,0.262855133
4482,20413,0.00945836
4517,7069,0.341384569
4528,7080,1
4529,7011,0.743106221
4529,7036,0.562322168
4530,7006,0.031033387
4827,20401,0.33453264
4829,20439,0.10986033
4829,20509,1
4833,20324,0.310683189
4833,20413,0.103292412
4834,20266,0.055399482
4834,20324,0.126634288
4834,20413,0.317500265
4837,20307,0.623601545
4870,7069,0.123723183
4882,7011,0.25689378
4884,7006,0.251066482
4885,7006,0.717900132
4885,7034,0.212783237
5177,20318,0.37613323
5178,20318,0.623866769
5185,20012,1
5185,20071,1
5186,20324,0.017519744
5187,20266,0.044042132
5187,20324,0.42404089
5187,20413,0.15829059
5188,20266,0.266237053
5189,20266,0.241568516
5190,20266,0.183833726
5190,20307,0.330457834
5191,20307,0.045940621
5218,7097,0.009407695
5219,7097,0.140658912
5220,7097,0.012544861
5231,7117,1
5234,7030,0.022914963
5237,7034,0.040038076
5238,7034,0.128700623
5526,20334,0.293706781
5526,20364,0.010027912
5531,20159,0.033157803
5536,20085,0.631289462
5537,20306,0.936685671
5542,20266,0.208919089
5571,7097,0.068982454
5582,7008,1
5587,7030,0.534567256
5872,20414,0.018703071
5873,20414,0.127462278
5877,20334,0.232067367
5879,20334,0.028312597
5879,20364,0.199487922
5880,20364,0.214614185
5882,20433,0.855833858
5882,20526,0.872768247
5883,20153,1
5883,20159,0.019167038
5883,20202,0.051023952
5883,20526,0.082838
5884,20159,0.092380125
5885,20159,0.105941698
5887,20113,1
5887,20291,0.020738697
5887,20366,0.999999999
5889,20085,0.368710538
5889,20254,0.257698745
5890,20254,0.33284425
5890,20279,1
5890,20306,0.063314329
5891,20236,1
5891,20424,0.322250008
5892,20424,0.123497661
5923,7097,0.2602197
5924,7097,0.034763384
5925,7097,0.049208502
5939,7020,0.121124028
5939,7030,0.164422561
5940,7030,0.27809522
5944,7034,0.618478063
6226,20414,0.502146357
6228,20467,0.148649797
6229,20467,0.221859408
6230,20334,0.073689341
6230,20467,0.078999143
6231,20334,0.333128301
6233,20364,0.174640904
6234,20364,0.006697849
6235,20202,0.197806035
6235,20433,0.144166142
6235,20526,0.044393754
6236,20202,0.477891709
6237,20159,0.20775657
6238,20159,0.341272307
6239,20159,0.038580674
6239,20291,0.19505518
6239,20344,1
6240,20291,0.609587862
6242,20391,0.71275147
6243,20095,0.35306513
6243,20254,0.377954524
6243,20347,0.329029159
6244,20254,0.031502482
6244,20347,0.670970841
6244,20424,0.379423072
6244,20512,0.594187256
6245,20424,0.17482926
6245,20512,0.405812744
6250,20125,0.080031073
6251,20008,0.208063111
6251,20125,0.149980591
6251,20410,0.026101835
6276,7097,0.076863065
6280,7107,0.018165815
6281,7107,0.088738682
6282,7107,0.055458868
6285,7020,0.001655545
6285,7107,0.019325793
6286,7020,0.085139183
6291,7020,0.140872691
6292,7020,0.035948885
6296,7099,0.089423961
6297,7099,0.08029583
6298,7099,0.101065816
6573,20485,0.295318218
6574,20482,0.143551983
6574,20507,1
6575,20482,0.251444961
6579,20090,0.308425106
6579,20414,0.351688293
6580,20367,0.620850323
6580,20467,0.135915383
6581,20467,0.015604803
6581,20489,0.885168095
6583,20467,0.005642541
6583,20543,0.573341635
6584,20334,0.039095613
6584,20543,0.426658365
6585,20272,0.079982306
6586,20213,1
6586,20272,0.920017694
6586,20364,0.365307015
6588,20202,0.273278305
6588,20364,0.029224215
6590,20159,0.081231931
6591,20159,0.02677899
6592,20159,0.010765561
6592,20291,0.052075326
6593,20059,0.222123143
6593,20291,0.117985161
6594,20059,0.108389534
6594,20263,1
6594,20291,0.004557775
6594,20362,0.408998288
6594,20391,0.046104346
6594,20533,0.143648128
6595,20059,0.051153783
6595,20391,0.241144184
6595,20533,0.856351872
6596,20059,0.01811726
6596,20095,0.64693487
6597,20126,0.13812322
6598,20126,0.080013885
6598,20209,0.733949546
6598,20319,1
6601,20428,0.746578476
6602,20410,0.249844739
6602,20428,0.225870715
6603,20410,0.082914846
6604,20008,0.138236167
6604,20125,0.036700513
6604,20410,0.019955653
6605,20008,0.314327483
6605,20052,0.14777671
6612,20248,0.193435078
6612,20308,0.885470404
6613,20248,0.399637417
6614,20248,0.405414133
6615,20043,0.210906841
6615,20248,0.001513372
6616,20043,0.070130277
6629,7097,0.209395405
6630,7097,0.137956023
6631,7107,0.039033011
6633,7107,0.071348302
6634,7107,0.081537706
6635,7107,0.1009571
6636,7107,0.089495843
6638,7020,0.003963422
6638,7107,0.141722928
6639,7020,0.090761245
6640,7020,0.016347473
6642,7020,0.081829397
6643,7020,0.120794631
6647,7104,0.022920828
6648,7019,0.05065644
6648,7099,0.08261098
6649,7099,0.169933969
6650,7099,0.106603798
6651,7099,0.120873244
6652,7099,0.024550929
6925,12023,0.267025224
6926,20485,0.704681782
6930,20482,0.605003056
6932,20090,0.691574894
6932,20225,0.371637773
6933,20082,0.649559679
6933,20225,0.462429584
6933,20367,0.379149677
6934,20467,0.224003857
6934,20489,0.073051287
6940,20277,0.040595477
6940,20477,0.074406061
6941,20277,0.207747276
6942,20159,0.042967304
6942,20277,0.085804034
6942,20314,1
6946,20059,0.080468601
6946,20353,1
6946,20384,0.341155595
6947,20059,0.05282822
6947,20061,1
6947,20362,0.591001712
6947,20384,0.658844405
6948,20059,0.243873539
6948,20235,0.034572368
6948,20538,0.892711482
6949,20059,0.095308564
6949,20154,1
6949,20167,1
6949,20235,0.161535745
6949,20538,0.107288518
6950,20059,0.021188419
6950,20126,0.529117638
6950,20146,0.984571623
6950,20170,0.000310177
6951,20074,0.412920267
6951,20126,0.128223074
6951,20209,0.266050454
6952,20074,0.587079733
6952,20125,0.075235519
6952,20361,1
6953,20125,0.12019027
6954,20428,0.027550809
6956,20125,0.016243923
6956,20410,0.197530449
6957,20410,0.197842324
6958,20008,0.339373241
6958,20052,0.150601456
6959,20052,0.006652278
6960,20282,0.804644108
6961,20052,0.002926605
6961,20282,0.195355892
6961,20515,0.101323934
6964,20124,0.064250048
6964,20515,0.152319009
6965,20043,0.049319261
6965,20124,0.4414513
6965,20308,0.114529596
6966,20043,0.045152762
6971,20141,0.280576961
6972,20141,0.067262316
6972,20143,0.060190575
6973,20141,0.020443984
6973,20143,0.121973868
6976,20025,0.650164992
6976,20327,1
6984,7107,0.059868113
6985,7107,0.076758302
6985,7108,0.127669441
6986,7107,0.088410208
6986,7108,0.156824751
6987,7107,0.066217229
6987,7108,0.094459934
6989,7107,0.002962101
6994,7020,0.039460454
6995,7020,0.210062917
6996,7020,0.052040129
7000,7019,0.519912771
7000,7104,0.977079172
7001,7019,0.429430789
7004,7099,0.014774866
7005,7099,0.130063528
7006,7099,0.004653011
7278,12023,0.237191794
7279,12023,0.093104286
7279,20180,0.130593211
7280,20180,0.369439762
7280,20402,0.406667033
7280,20474,0.372806667
7281,20402,0.593332967
7281,20474,0.16817209
7284,20070,1.000000001
7284,20188,0.182100268
7284,20302,1
7284,20312,1
7285,20188,0.817899733
7286,20225,0.165932642
7287,20082,0.044233612
7287,20467,0.169325069
7288,20082,0.306206709
7288,20466,0.232288578
7288,20489,0.04178062
7293,20477,0.925593939
7298,20534,1
7298,20563,0.647043811
7299,20059,0.067079182
7299,20289,1
7299,20351,1
7299,20563,0.164808168
7300,20059,0.039469754
7302,20126,0.052775122
7302,20235,0.803891887
7303,20126,0.071747061
7303,20170,0.009109288
7304,20146,0.015428377
7304,20170,0.990580535
7304,20316,0.303969388
7305,20125,0.081360672
7305,20316,0.696030612
7306,20125,0.08470867
7308,20122,0.333913526
7309,20122,0.141730435
7310,20410,0.225810153
7312,20052,0.447037556
7313,20052,0.012124605
7314,20418,0.043651153
7314,20515,0.16182392
7315,20515,0.237366836
7317,20124,0.004237071
7317,20515,0.333878694
7320,20043,0.087388369
7323,20130,0.567182363
7324,20141,0.005531847
7325,20141,0.578973371
7325,20143,0.086920068
7326,20141,0.047211521
7326,20143,0.730915489
7329,20025,0.349835008
7340,7108,0.062448164
7341,7108,0.036955341
7350,7083,0.017991106
7356,7041,0.234728999
7356,7099,0.018647076
7357,7041,0.181274292
7357,7099,0.043509151
7358,7041,0.220083908
7358,7099,0.008423618
7362,7052,0.463829084
7362,7099,0.004570221
7363,7052,0.211655603
7363,7115,0.259386744
7364,7115,0.571046196
7631,12023,0.022999943
7632,12023,0.379678752
7632,12046,0.243103789
7632,20180,0.090826411
7633,12046,0.159032412
7633,20180,0.409140615
7633,20474,0.285895767
7634,20056,1
7634,20474,0.173125475
7641,20466,0.767711422
7643,20386,0.516412525
7644,20158,0.56914095
7644,20386,0.483587475
7645,20158,0.43085905
7645,20516,0.469218055
7647,20229,0.387030003
7647,20277,0.055069461
7648,20277,0.060412556
7648,20429,0.073969151
7649,20155,0.1457988
7649,20277,0.02686496
7649,20429,0.149313815
7651,20028,0.16952261
7651,20080,0.785969804
7651,20563,0.188148021
7652,20028,0.342596826
7652,20080,0.214030196
7653,20015,0.479446631
7659,20125,0.324071609
7661,20204,0.034316901
7662,20122,0.501041001
7662,20125,0.031477161
7662,20204,0.168624532
7663,20122,0.023315038
7666,20052,0.232880789
7666,20418,0.099227806
7667,20418,0.115412211
7668,20418,0.163783176
7670,20124,0.186455364
7670,20515,0.013287605
7671,20005,0.012796284
7671,20124,0.303606217
7671,20305,1
7672,20043,0.064667798
7673,20043,0.098082468
7675,20557,0.337518701
7676,20066,0.320655434
7676,20130,0.432817637
7684,7017,0.065287155
7690,7108,0.134308755
7691,7108,0.017344628
7692,7108,0.001352923
7694,7108,0.099099761
7703,7106,0.071018682
7704,7083,0.982008894
7704,7106,0.089619758
7708,7041,0.03988838
7709,7041,0.135032435
7710,7041,0.112990492
7711,7041,0.076001493
7717,7115,0.169567059
7986,12046,0.348738059
7989,20300,0.92607191
7989,20415,1
7992,20076,1
7998,20516,0.134974092
7999,20229,0.284904119
7999,20516,0.395807853
8000,20229,0.328065879
8001,20277,0.036753054
8001,20429,0.481678722
8002,20155,0.634971222
8002,20277,0.039530871
8002,20429,0.295038312
8003,20017,0.143834335
8003,20398,0.823330435
8004,20017,0.856165665
8004,20241,1
8004,20542,0.323108113
8005,20015,0.095130759
8005,20028,0.487880563
8005,20542,0.676891887
8006,20015,0.425422611
8009,20449,0.339262528
8010,20449,0.536893803
8014,20064,0.01432768
8014,20204,0.622637442
8015,20204,0.174421126
8018,20418,0.043635029
8018,20440,0.374861216
8019,20418,0.15382678
8019,20440,0.120451394
8020,20418,0.229008636
8021,20418,0.039217865
8024,20005,0.0026168
8025,20005,0.22726828
8026,20005,0.078665929
8028,20557,0.547420504
8029,20066,0.16833501
8029,20557,0.115060796
8030,20066,0.363525723
8036,7017,0.135651326
8036,20265,0.04484704
8036,20525,1
8037,7017,0.167535164
8040,7046,0.175184876
8043,7108,0.075986875
8044,7108,0.15633379
8048,7108,0.037215637
8053,7106,0.253564574
8054,7058,0.374375774
8054,7106,0.064035442
8055,7106,0.320751449
8062,7052,0.129374318
8063,7052,0.119682823
8064,7052,0.015431509
8331,12025,0.437071995
8336,12013,0.781358366
8337,12036,1
8339,12046,0.125396324
8339,12062,0.001101575
8340,12046,0.018595805
8340,12062,0.021904523
8341,12071,0.040319957
8342,20300,0.07392809
8347,20377,0.247819378
8348,20377,0.019644137
8350,20491,0.13615801
8351,20448,1
8351,20491,0.172648377
8352,20277,0.075810392
8352,20491,0.504546124
8353,20277,0.014662727
8353,20570,0.132330812
8354,20535,0.34111829
8355,20155,0.01016281
8355,20277,0.104495953
8355,20535,0.646408811
8356,20155,0.209067169
8356,20277,0.00712621
8356,20398,0.176669565
8358,20049,1
8358,20072,1
8360,20162,0.49623086
8360,20328,1
8363,20333,0.677867107
8363,20449,0.123843668
8366,20064,0.271163546
8367,20064,0.714508774
8367,20357,0.666469323
8368,20357,0.333530677
8371,20440,0.50468739
8372,20470,0.137501736
8373,20418,0.112237344
8373,20470,0.041223468
8375,20472,0.09847257
8376,20472,0.567732439
8378,20005,0.02551139
8379,20005,0.126150957
8379,20043,0.082619355
8380,20005,0.052312465
8380,20043,0.186947856
8381,20043,0.104785013
8381,20265,0.011133294
8383,20066,0.147483833
8388,20265,0.176999554
