 GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
fraction,0
  29470, 1001,0.0000000,0.0002840,0.0000201,      0.0,     16.0, 740681.0,  56330.0, 797011.0
  29471, 1001,0.0000000,0.0016510,0.0001167,      0.0,     93.0, 740681.0,  56330.0, 797011.0
  29472, 1001,0.0000000,0.0419847,0.0029673,      0.0,   2365.0, 740681.0,  56330.0, 797011.0
  29823, 1001,0.0000000,0.0371916,0.0026286,      0.0,   2095.0, 740681.0,  56330.0, 797011.0
  29824, 1001,0.0000000,0.0567548,0.0040112,      0.0,   3197.0, 740681.0,  56330.0, 797011.0
  29825, 1001,0.0000000,0.1389313,0.0098192,      0.0,   7826.0, 740681.0,  56330.0, 797011.0
  29826, 1001,0.0000000,0.0011539,0.0000816,      0.0,     65.0, 740681.0,  56330.0, 797011.0
  29827, 1001,0.0000000,0.0158885,0.0011229,      0.0,    895.0, 740681.0,  56330.0, 797011.0
  30175, 1001,0.0000000,0.0043671,0.0003087,      0.0,    246.0, 740681.0,  56330.0, 797011.0
  30176, 1001,0.0000000,0.0205752,0.0014542,      0.0,   1159.0, 740681.0,  56330.0, 797011.0
  30177, 1001,0.0005576,0.0569679,0.0045445,    413.0,   3209.0, 740681.0,  56330.0, 797011.0
  30178, 1001,0.1484796,0.1647612,0.1496303, 109976.0,   9281.0, 740681.0,  56330.0, 797011.0
  30179, 1001,0.0427593,0.0488372,0.0431889,  31671.0,   2751.0, 740681.0,  56330.0, 797011.0
  30180, 1001,0.0000000,0.0147701,0.0010439,      0.0,    832.0, 740681.0,  56330.0, 797011.0
  30181, 1001,0.0000000,0.0043494,0.0003074,      0.0,    245.0, 740681.0,  56330.0, 797011.0
  30530, 1001,0.0023168,0.1094799,0.0098907,   1716.0,   6167.0, 740681.0,  56330.0, 797011.0
  30531, 1001,0.5615454,0.0637316,0.5263616, 415926.0,   3590.0, 740681.0,  56330.0, 797011.0
  30532, 1001,0.2246190,0.0808273,0.2144563, 166371.0,   4553.0, 740681.0,  56330.0, 797011.0
  30533, 1001,0.0000000,0.0002308,0.0000163,      0.0,     13.0, 740681.0,  56330.0, 797011.0
  30884, 1001,0.0144475,0.0471862,0.0167614,  10701.0,   2658.0, 740681.0,  56330.0, 797011.0
  30885, 1001,0.0052749,0.0220486,0.0064604,   3907.0,   1242.0, 740681.0,  56330.0, 797011.0
  30886, 1001,0.0000000,0.0504704,0.0035671,      0.0,   2843.0, 740681.0,  56330.0, 797011.0
  31239, 1001,0.0000000,0.0175573,0.0012409,      0.0,    989.0, 740681.0,  56330.0, 797011.0
  30889, 1002,0.0000000,0.0217783,0.0156731,      0.0,    713.0,  12753.0,  32739.0,  45492.0
  31238, 1002,0.0000000,0.0040319,0.0029016,      0.0,    132.0,  12753.0,  32739.0,  45492.0
  31239, 1002,0.0016467,0.0736125,0.0534380,     21.0,   2410.0,  12753.0,  32739.0,  45492.0
  31240, 1002,0.3501921,0.0769419,0.1535435,   4466.0,   2519.0,  12753.0,  32739.0,  45492.0
  31241, 1002,0.0000000,0.1496380,0.1076893,      0.0,   4899.0,  12753.0,  32739.0,  45492.0
  31242, 1002,0.0000000,0.0376310,0.0270817,      0.0,   1232.0,  12753.0,  32739.0,  45492.0
  31591, 1002,0.0000000,0.0825621,0.0594170,      0.0,   2703.0,  12753.0,  32739.0,  45492.0
  31592, 1002,0.0000000,0.1279819,0.0921041,      0.0,   4190.0,  12753.0,  32739.0,  45492.0
  31593, 1002,0.0314436,0.1327163,0.1043260,    401.0,   4345.0,  12753.0,  32739.0,  45492.0
  31594, 1002,0.0000000,0.0065365,0.0047041,      0.0,    214.0,  12753.0,  32739.0,  45492.0
  31945, 1002,0.3541912,0.0006720,0.0997758,   4517.0,     22.0,  12753.0,  32739.0,  45492.0
  31946, 1002,0.2625265,0.1442316,0.1773938,   3348.0,   4722.0,  12753.0,  32739.0,  45492.0
  32299, 1002,0.0000000,0.1416659,0.1019520,      0.0,   4638.0,  12753.0,  32739.0,  45492.0
  29819, 1003,0.0000000,0.0003275,0.0001662,      0.0,      9.0,  26656.0,  27480.0,  54136.0
  29820, 1003,0.0000000,0.0039301,0.0019950,      0.0,    108.0,  26656.0,  27480.0,  54136.0
  30172, 1003,0.0000000,0.1446870,0.0734447,      0.0,   3976.0,  26656.0,  27480.0,  54136.0
  30173, 1003,0.6772584,0.2590247,0.4649586,  18053.0,   7118.0,  26656.0,  27480.0,  54136.0
  30525, 1003,0.0000000,0.0084425,0.0042855,      0.0,    232.0,  26656.0,  27480.0,  54136.0
  30526, 1003,0.0633628,0.2438865,0.1549985,   1689.0,   6702.0,  26656.0,  27480.0,  54136.0
  30527, 1003,0.2593788,0.2001456,0.2293114,   6914.0,   5500.0,  26656.0,  27480.0,  54136.0
  30879, 1003,0.0000000,0.0817322,0.0414881,      0.0,   2246.0,  26656.0,  27480.0,  54136.0
  30880, 1003,0.0000000,0.0316594,0.0160706,      0.0,    870.0,  26656.0,  27480.0,  54136.0
  30881, 1003,0.0000000,0.0000728,0.0000369,      0.0,      2.0,  26656.0,  27480.0,  54136.0
  31232, 1003,0.0000000,0.0019287,0.0009790,      0.0,     53.0,  26656.0,  27480.0,  54136.0
  31233, 1003,0.0000000,0.0241630,0.0122654,      0.0,    664.0,  26656.0,  27480.0,  54136.0
  32296, 1004,0.0000000,0.3048107,0.2055578,      0.0,   3092.0,   4898.0,  10144.0,  15042.0
  32297, 1004,0.0000000,0.0013801,0.0009307,      0.0,     14.0,   4898.0,  10144.0,  15042.0
  32649, 1004,1.0000000,0.5717666,0.7112086,   4898.0,   5800.0,   4898.0,  10144.0,  15042.0
  32650, 1004,0.0000000,0.0002957,0.0001994,      0.0,      3.0,   4898.0,  10144.0,  15042.0
  33002, 1004,0.0000000,0.1217468,0.0821034,      0.0,   1235.0,   4898.0,  10144.0,  15042.0
  30175, 1005,0.0000000,0.0275107,0.0087057,      0.0,    867.0,  68075.0,  31515.0,  99590.0
  30528, 1005,0.0000000,0.0154530,0.0048900,      0.0,    487.0,  68075.0,  31515.0,  99590.0
  30529, 1005,0.0000000,0.1168650,0.0369816,      0.0,   3683.0,  68075.0,  31515.0,  99590.0
  30530, 1005,0.0000000,0.1007774,0.0318908,      0.0,   3176.0,  68075.0,  31515.0,  99590.0
  30531, 1005,0.0039368,0.0034904,0.0037956,    268.0,    110.0,  68075.0,  31515.0,  99590.0
  30881, 1005,0.0000000,0.0030144,0.0009539,      0.0,     95.0,  68075.0,  31515.0,  99590.0
  30882, 1005,0.0000000,0.0004442,0.0001406,      0.0,     14.0,  68075.0,  31515.0,  99590.0
  30883, 1005,0.4772971,0.0788831,0.3512200,  32492.0,   2486.0,  68075.0,  31515.0,  99590.0
  30884, 1005,0.5187660,0.5972077,0.5435887,  35315.0,  18821.0,  68075.0,  31515.0,  99590.0
  31237, 1005,0.0000000,0.0563541,0.0178331,      0.0,   1776.0,  68075.0,  31515.0,  99590.0
  31237, 1006,0.0000000,0.4197772,0.1026229,      0.0,   4296.0,  31628.0,  10234.0,  41862.0
  31238, 1006,0.0000000,0.0482705,0.0118007,      0.0,    494.0,  31628.0,  10234.0,  41862.0
  31589, 1006,0.0000000,0.0137776,0.0033682,      0.0,    141.0,  31628.0,  10234.0,  41862.0
  31590, 1006,1.0000000,0.3563612,0.8426496,  31628.0,   3647.0,  31628.0,  10234.0,  41862.0
  31591, 1006,0.0000000,0.1618136,0.0395585,      0.0,   1656.0,  31628.0,  10234.0,  41862.0
  31589, 1007,0.0224255,0.0433082,0.0283994,    787.0,    609.0,  35094.0,  14062.0,  49156.0
  31590, 1007,0.0885621,0.0453705,0.0762064,   3108.0,    638.0,  35094.0,  14062.0,  49156.0
  31942, 1007,0.0000000,0.1315602,0.0376353,      0.0,   1850.0,  35094.0,  14062.0,  49156.0
  31943, 1007,0.8890124,0.3344474,0.7303686,  31199.0,   4703.0,  35094.0,  14062.0,  49156.0
  32294, 1007,0.0000000,0.0000711,0.0000203,      0.0,      1.0,  35094.0,  14062.0,  49156.0
  32295, 1007,0.0000000,0.0039824,0.0011392,      0.0,     56.0,  35094.0,  14062.0,  49156.0
  32296, 1007,0.0000000,0.0079647,0.0022785,      0.0,    112.0,  35094.0,  14062.0,  49156.0
  32297, 1007,0.0000000,0.1804153,0.0516112,      0.0,   2537.0,  35094.0,  14062.0,  49156.0
  32650, 1007,0.0000000,0.2528801,0.0723411,      0.0,   3556.0,  35094.0,  14062.0,  49156.0
  31234, 1008,0.0000000,0.0301479,0.0125548,      0.0,    106.0,   4927.0,   3516.0,   8443.0
  31235, 1008,0.0000000,0.0002844,0.0001184,      0.0,      1.0,   4927.0,   3516.0,   8443.0
  31587, 1008,0.0000000,0.1291240,0.0537724,      0.0,    454.0,   4927.0,   3516.0,   8443.0
  31588, 1008,0.0000000,0.6882821,0.2866280,      0.0,   2420.0,   4927.0,   3516.0,   8443.0
  31589, 1008,1.0000000,0.0267349,0.5946938,   4927.0,     94.0,   4927.0,   3516.0,   8443.0
  31940, 1008,0.0000000,0.0022753,0.0009475,      0.0,      8.0,   4927.0,   3516.0,   8443.0
  31941, 1008,0.0000000,0.0321388,0.0133839,      0.0,    113.0,   4927.0,   3516.0,   8443.0
  31942, 1008,0.0000000,0.0910125,0.0379012,      0.0,    320.0,   4927.0,   3516.0,   8443.0
  31591, 1009,0.0000000,0.0932103,0.0559793,      0.0,   1101.0,   7856.0,  11812.0,  19668.0
  31592, 1009,0.0000000,0.0456316,0.0274049,      0.0,    539.0,   7856.0,  11812.0,  19668.0
  31943, 1009,0.0000000,0.0381815,0.0229306,      0.0,    451.0,   7856.0,  11812.0,  19668.0
  31944, 1009,0.8701629,0.4170335,0.5980272,   6836.0,   4926.0,   7856.0,  11812.0,  19668.0
  31945, 1009,0.1298371,0.0374196,0.0743339,   1020.0,    442.0,   7856.0,  11812.0,  19668.0
  32297, 1009,0.0000000,0.3685235,0.2213240,      0.0,   4353.0,   7856.0,  11812.0,  19668.0
  30180, 1010,0.0000000,0.1692606,0.1207245,      0.0,   2273.0,   5399.0,  13429.0,  18828.0
  30181, 1010,0.0000000,0.0729764,0.0520501,      0.0,    980.0,   5399.0,  13429.0,  18828.0
  30532, 1010,0.0000000,0.0000745,0.0000531,      0.0,      1.0,   5399.0,  13429.0,  18828.0
  30533, 1010,0.0000000,0.0829548,0.0591672,      0.0,   1114.0,   5399.0,  13429.0,  18828.0
  30534, 1010,0.0000000,0.2475240,0.1765456,      0.0,   3324.0,   5399.0,  13429.0,  18828.0
  30535, 1010,1.0000000,0.0586045,0.3285532,   5399.0,    787.0,   5399.0,  13429.0,  18828.0
  30886, 1010,0.0000000,0.0079678,0.0056830,      0.0,    107.0,   5399.0,  13429.0,  18828.0
  30887, 1010,0.0000000,0.1743987,0.1243892,      0.0,   2342.0,   5399.0,  13429.0,  18828.0
  30888, 1010,0.0000000,0.1216025,0.0867325,      0.0,   1633.0,   5399.0,  13429.0,  18828.0
  31240, 1010,0.0000000,0.0646362,0.0461016,      0.0,    868.0,   5399.0,  13429.0,  18828.0
  30884, 1011,0.1783112,0.3033569,0.2347564,   3499.0,   4898.0,  19623.0,  16146.0,  35769.0
  30885, 1011,0.0000000,0.2313266,0.1044200,      0.0,   3735.0,  19623.0,  16146.0,  35769.0
  31237, 1011,0.8216888,0.3580453,0.6124018,  16124.0,   5781.0,  19623.0,  16146.0,  35769.0
  31238, 1011,0.0000000,0.0619348,0.0279572,      0.0,   1000.0,  19623.0,  16146.0,  35769.0
  31239, 1011,0.0000000,0.0453363,0.0204646,      0.0,    732.0,  19623.0,  16146.0,  35769.0
  58644, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  58650, 2001,0.0000000,0.0000728,0.0000107,      0.0,      5.0, 398122.0,  68692.0, 466814.0
  58652, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  58653, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  58654, 2001,0.0000000,0.0010918,0.0001607,      0.0,     75.0, 398122.0,  68692.0, 466814.0
  58655, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  58998, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  58999, 2001,0.0000000,0.0000873,0.0000129,      0.0,      6.0, 398122.0,  68692.0, 466814.0
  59003, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  59337, 2001,0.0000000,0.0099138,0.0014588,      0.0,    681.0, 398122.0,  68692.0, 466814.0
  59350, 2001,0.0000000,0.0000728,0.0000107,      0.0,      5.0, 398122.0,  68692.0, 466814.0
  59354, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  59355, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  59356, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  59357, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  59358, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  59688, 2001,0.0000000,0.0003348,0.0000493,      0.0,     23.0, 398122.0,  68692.0, 466814.0
  59690, 2001,0.0000000,0.0195074,0.0028705,      0.0,   1340.0, 398122.0,  68692.0, 466814.0
  59702, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  59704, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  59705, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  59706, 2001,0.0000000,0.0000582,0.0000086,      0.0,      4.0, 398122.0,  68692.0, 466814.0
  59709, 2001,0.0000000,0.0000873,0.0000129,      0.0,      6.0, 398122.0,  68692.0, 466814.0
  59715, 2001,0.0000000,0.0009608,0.0001414,      0.0,     66.0, 398122.0,  68692.0, 466814.0
  60056, 2001,0.0000000,0.0066529,0.0009790,      0.0,    457.0, 398122.0,  68692.0, 466814.0
  60058, 2001,0.0000000,0.0000582,0.0000086,      0.0,      4.0, 398122.0,  68692.0, 466814.0
  60059, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  60060, 2001,0.0000000,0.0000582,0.0000086,      0.0,      4.0, 398122.0,  68692.0, 466814.0
  60061, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  60067, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  60068, 2001,0.0000000,0.0002766,0.0000407,      0.0,     19.0, 398122.0,  68692.0, 466814.0
  60766, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  61115, 2001,0.0000000,0.0000437,0.0000064,      0.0,      3.0, 398122.0,  68692.0, 466814.0
  61118, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  61468, 2001,0.0000000,0.0020672,0.0003042,      0.0,    142.0, 398122.0,  68692.0, 466814.0
  61472, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  61819, 2001,0.0000000,0.0020090,0.0002956,      0.0,    138.0, 398122.0,  68692.0, 466814.0
  61823, 2001,0.0000000,0.0000146,0.0000021,      0.0,      1.0, 398122.0,  68692.0, 466814.0
  61824, 2001,0.0000000,0.0000582,0.0000086,      0.0,      4.0, 398122.0,  68692.0, 466814.0
  62173, 2001,0.0000000,0.0001456,0.0000214,      0.0,     10.0, 398122.0,  68692.0, 466814.0
  62526, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  62533, 2001,0.0000000,0.0000873,0.0000129,      0.0,      6.0, 398122.0,  68692.0, 466814.0
  62876, 2001,0.0000000,0.0000291,0.0000043,      0.0,      2.0, 398122.0,  68692.0, 466814.0
  62879, 2001,0.0000000,0.0016596,0.0002442,      0.0,    114.0, 398122.0,  68692.0, 466814.0
  62885, 2001,0.0000000,0.0086036,0.0012660,      0.0,    591.0, 398122.0,  68692.0, 466814.0
