GRIDCODE,CVENTMUN,Suma de Fpv
294,7087,0.168988885
295,7087,0.003144961
646,7087,0.240810524
646,7089,0.009756978
647,7087,0.002416392
648,7087,0.393377641
998,7089,0.140799857
999,7089,0.05981011
1001,7035,0.494452364
1001,7087,0.191261597
1350,7054,0.064476037
1351,7089,0.061111955
1352,7089,0.092252983
1353,7035,0.404358904
1353,7055,1
1353,7102,0.016734944
1354,7035,0.101188732
1703,7054,0.801147547
1704,7037,0.012102372
1704,7054,0.134376416
1704,7089,0.124979839
1705,7089,0.267115992
1706,7089,0.013291951
1706,7102,0.650391651
2057,7037,0.66714156
2057,7089,0.000390775
2058,7089,0.026748029
2059,7015,0.280140882
2059,7089,0.034791703
2059,7102,0.036268574
2060,7015,0.300823559
2060,7102,0.296604832
2409,7037,0.070333493
2409,7103,0.321414939
2410,7037,0.250422576
2411,7089,0.129563647
2412,7089,0.019575529
2413,7015,0.419035559
2413,7105,1
2761,7040,0.65702925
2761,7071,0.391786128
2762,7040,0.341919219
2762,7103,0.546514178
2764,7089,0.019810654
3112,7003,0.176555084
3112,7032,0.025443669
3113,7032,0.291055267
3113,7071,0.488465367
3114,7071,0.119748506
3115,7040,0.001051531
3115,7057,0.123087641
3115,7103,0.132070883
3116,7057,0.008743866
3464,7001,0.36663378
3464,7003,0.080954588
3465,7001,0.633366219
3465,7003,0.047802774
3465,7032,0.343468596
3466,7032,0.303708425
3467,7032,0.036324044
3469,7057,0.287146875
3470,7057,0.186755594
3815,7051,0.234385111
3816,7003,0.131692257
3816,7051,0.345301747
3817,7003,0.562995296
3817,7051,0.009928361
3822,7057,0.221803019
3822,7070,0.057592827
3823,7053,0.012229449
3823,7057,0.172463004
3824,7006,0.048186751
3824,7053,0.987770551
4122,20439,0.082686409
4123,20439,0.170348864
4124,20439,0.332921111
4125,20324,0.209483373
4125,20439,0.095094036
4126,20324,0.112809052
4167,7051,0.015074304
4167,7069,0.112115898
4168,7051,0.395310478
4175,7070,0.12919564
4175,7080,0.508190846
4176,7036,1
4176,7070,0.813211532
4176,7080,0.304966612
4177,7006,0.011487213
4178,7006,0.390179443
4472,20401,0.150243855
4473,20401,0.236146742
4474,20401,0.107943137
4474,20439,0.116399654
4475,20439,0.098982313
4476,20439,0.0152075
4478,20324,0.111088244
4478,20439,0.088360112
4479,20324,0.228807679
4480,20324,0.126304538
4480,20413,0.059796388
4481,20413,0.196038399
4482,20413,0.26470889
4483,20413,0.288653906
4518,7069,0.035585033
4519,7069,0.186477118
4520,7069,0.062467015
4528,7080,0.186842542
4530,7006,0.208175351
4531,7006,0.156832416
4531,7010,1
4824,20318,0.359783991
4824,20401,0.046628166
4825,20401,0.380009081
4826,20401,0.079029018
4831,20012,0.013179262
4831,20324,0.108079058
4832,20324,0.103428055
4833,20413,0.05496835
4836,20266,0.309818741
4836,20413,0.135834067
4837,20266,0.690181259
4837,20307,0.148303514
4838,20307,0.010406493
4870,7069,0.174167875
4871,7069,0.115988826
4883,7006,0.185138827
4883,7011,0.241857982
4883,7034,0.175362704
4885,7034,0.025439854
5172,20334,0.045241234
5173,20334,0.074973718
5174,20334,0.111757631
5175,20334,0.122720903
5176,20318,0.205876164
5176,20334,0.026180004
5177,20318,0.342105857
5184,20012,0.386291504
5184,20071,0.954477636
5185,20012,0.018223337
5185,20071,0.045522364
5191,20307,0.195737227
5192,20307,0.210211083
5193,20307,0.084727553
5221,7069,0.131205726
5221,7097,0.001228934
5222,7069,0.171060026
5223,7069,0.01093248
5234,7030,0.082185113
5235,7011,0.56095676
5235,7030,0.917814887
5235,7034,0.051094601
5236,7011,0.197185258
5236,7034,0.080059328
5237,7034,0.175498527
5238,7034,0.236846573
5523,20334,0.069731827
5524,20334,0.135601575
5525,20334,0.116382628
5526,20334,0.056009671
5530,20153,0.717609368
5530,20318,0.092233989
5537,20012,0.582305897
5537,20085,1
5537,20254,0.1796472
5537,20306,0.595563453
5546,20307,0.192866507
5547,20307,0.129922751
5547,20453,0.389636646
5548,20453,0.505542682
5549,20453,0.104820672
5549,20515,0.107197083
5550,20515,0.016046493
5570,7097,0.049000839
5571,7097,0.022658434
5572,7097,0.033918054
5573,7097,0.118993961
5574,7097,0.048124868
5582,7008,0.151501628
5591,7034,0.181920294
5875,20334,0.059487269
5875,20467,0.085942938
5876,20334,0.088554903
5877,20334,0.093358636
5883,20153,0.282390632
5890,20254,0.230942486
5890,20279,1
5890,20306,0.404436547
5900,20307,0.027824872
5903,20515,0.14985202
5922,7097,0.0592143
5923,7097,0.026031843
5924,7097,0.081531264
5925,7097,0.101181194
5934,7020,0.018630798
5935,7008,0.848498371
5935,7020,0.132876719
5944,7034,0.073778118
5944,7099,0.059238984
6225,20482,0.163613585
6227,20467,0.114216106
6228,20467,0.403113274
6233,20364,0.0163287
6234,20364,0.305619859
6234,20497,1
6235,20202,0.07248363
6242,20095,0.07258372
6243,20095,0.446252152
6243,20254,0.589410314
6256,20515,0.070021811
6257,20079,0.049056332
6257,20515,0.158655613
6258,20079,0.025252266
6274,7097,0.00848342
6275,7097,0.089309997
6276,7097,0.136593506
6277,7097,0.050223659
6287,7020,0.230272156
6297,7099,0.091800312
6571,12023,0.073166108
6575,20168,0.071916309
6575,20482,0.091465898
6577,20482,0.105149074
6578,20090,0.198652095
6578,20482,0.228561992
6579,20090,0.642076409
6580,20090,0.10573717
6580,20367,1
6580,20467,0.396727682
6587,20202,0.127367187
6587,20364,0.524460195
6588,20202,0.800149183
6588,20314,0.45755095
6588,20364,0.153591247
6589,20314,0.018096592
6595,20059,0.075531259
6595,20095,0.152438876
6595,20533,1
6596,20059,0.052558639
6596,20095,0.328725253
6611,20079,0.69749515
6612,20079,0.198164156
6612,20308,0.563414247
6625,7009,0.024285541
6628,7097,0.112725606
6629,7097,0.016178149
6634,7107,0.041605963
6637,7107,0.005354857
6638,7107,0.113837682
6639,7020,0.157703663
6639,7107,0.000838013
6640,7020,0.17560069
6649,7099,0.09328823
6650,7099,0.012669438
6924,12023,0.024121158
6925,12023,0.235709487
6926,12023,0.151119726
6926,20485,1
6927,20402,0.351902022
6928,20168,0.928083691
6928,20402,0.12839113
6928,20482,0.009991041
6929,20482,0.191665069
6930,20285,0.46646968
6930,20482,0.209553342
6931,20090,0.007006445
6932,20090,0.046527881
6941,20314,0.018578991
6942,20277,0.052762347
6942,20314,0.505773468
6947,20059,0.055018301
6947,20061,1
6948,20059,0.265828565
6964,20079,0.030032096
6964,20515,0.114390066
6965,20043,0.016877704
6965,20124,0.053668164
