GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES,Fpv
294,07087,75871.412,3737.068423,0.04925529
294,07087,75871.412,3804.42833,0.050143107
294,07087,75871.412,1299.512905,0.017127833
295,07087,75871.412,164.5352435,0.002168607
646,07087,75871.412,11721.50684,0.154491746
646,07089,477718.355,3002.046499,0.006284135
646,07087,75871.412,877.0032881,0.011559074
647,07087,75871.412,126.418651,0.001666222
648,07087,75871.412,18324.03466,0.24151435
648,07087,75871.412,2256.345769,0.029739077
998,07089,477718.355,5488.831725,0.011489681
998,07089,477718.355,1029.669255,0.00215539
998,07089,477718.355,36803.08264,0.077039289
999,07089,477718.355,18402.49498,0.038521641
1001,07035,30190.107,9424.044422,0.312156712
1001,07087,75871.412,10006.25359,0.131884373
1350,07054,121557.373,1622.753522,0.013349692
1351,07089,477718.355,407.5511869,0.00085312
1351,07089,477718.355,715.9404389,0.001498666
1351,07089,477718.355,17679.55772,0.037008328
1352,07089,477718.355,1689.254418,0.003536089
1352,07089,477718.355,1021.802653,0.002138923
1352,07089,477718.355,7348.783505,0.015383088
1352,07089,477718.355,18324.74306,0.038358884
1353,07055,12404.874,6671.572405,0.537818629
1353,07035,30190.107,7706.902726,0.255279083
1353,07102,126617.212,857.3546467,0.006771233
1353,07055,12404.874,2553.724851,0.205864632
1354,07035,30190.107,1928.612698,0.063882275
1703,07054,121557.373,7026.567728,0.057804538
1703,07054,121557.373,3991.72722,0.032838216
1703,07054,121557.373,4075.843326,0.033530202
1703,07054,121557.373,5069.399564,0.04170376
1704,07089,477718.355,17813.83183,0.037289402
1704,07089,477718.355,9330.688103,0.019531776
1704,07037,106950.180,835.6607843,0.007813552
1704,07089,477718.355,5770.682513,0.012079675
1704,07054,121557.373,3382.028646,0.027822489
1704,07089,477718.355,997.9181682,0.002088926
1704,07089,477718.355,4540.927636,0.009505449
1705,07089,477718.355,4960.198769,0.010383103
1705,07089,477718.355,2379.353249,0.004980661
1705,07089,477718.355,15958.38996,0.033405436
1705,07089,477718.355,33367.61454,0.06984788
1705,07089,477718.355,4888.017282,0.010232006
1705,07089,477718.355,1571.534416,0.003289667
1705,07089,477718.355,3817.288244,0.007990667
1705,07089,477718.355,2789.747229,0.005839732
1705,07089,477718.355,3908.987338,0.008182619
1705,07089,477718.355,8545.655133,0.01788848
1706,07102,126617.212,3805.760522,0.030057213
1706,07089,477718.355,4089.694328,0.00856089
1706,07102,126617.212,9494.777973,0.074988051
1706,07102,126617.212,5343.702596,0.042203603
1706,07102,126617.212,8434.736317,0.066616032
1706,07102,126617.212,4406.894284,0.034804859
1706,07102,126617.212,1834.605517,0.014489385
2057,07037,106950.180,5065.009955,0.047358592
2057,07089,477718.355,120.2344618,0.000251685
2057,07037,106950.180,25212.7387,0.235742836
2057,07037,106950.180,9052.984805,0.084646747
2057,07037,106950.180,1134.639073,0.010609043
2057,07037,106950.180,278.1837769,0.002601059
2057,07037,106950.180,5322.126647,0.049762671
2058,07089,477718.355,4673.753106,0.009783491
2058,07089,477718.355,3556.134111,0.007443997
2059,07015,19994.529,253.7540345,0.012691173
2059,07015,19994.529,1575.527457,0.078797928
2059,07089,477718.355,3098.152777,0.006485312
2059,07089,477718.355,7606.628469,0.015922831
2059,07102,126617.212,1858.089945,0.014674861
2059,07015,19994.529,3772.003532,0.188651781
2060,07102,126617.212,1248.111553,0.009857361
2060,07102,126617.212,6357.59259,0.050211124
2060,07102,126617.212,4831.234169,0.03815622
2060,07015,19994.529,1274.586284,0.063746752
2060,07102,126617.212,1078.316519,0.00851635
2060,07015,19994.529,4740.239111,0.237076807
2060,07102,126617.212,1680.227026,0.013270131
2409,07037,106950.180,4856.481093,0.045408817
2409,07103,78345.114,18246.66255,0.23290109
2409,07103,78345.114,1211.373129,0.015462012
2410,07037,106950.180,17291.51307,0.161678205
2411,07089,477718.355,19090.50996,0.039961851
2411,07089,477718.355,2073.55439,0.004340537
2411,07089,477718.355,18700.33953,0.039145114
2412,07089,477718.355,5952.523371,0.01246032
2412,07089,477718.355,70.51496462,0.000147608
2413,07015,19994.529,8378.418668,0.419035559
2413,07105,24177.884,24177.8835,1
2761,07040,39979.959,1977.025399,0.049450411
2761,07040,39979.959,24290.97718,0.607578839
2761,07071,36090.464,13862.78856,0.384112224
2762,07040,39979.959,1677.065464,0.041947653
2762,07040,39979.959,2587.422723,0.064717993
2762,07103,78345.114,1378.314462,0.017592858
2762,07040,39979.959,4669.181462,0.11678805
2762,07103,78345.114,12446.53959,0.158868102
2762,07103,78345.114,4847.66946,0.061875836
2762,07103,78345.114,7527.236067,0.096077926
2762,07103,78345.114,6885.486608,0.087886611
2762,07040,39979.959,4736.246778,0.118465523
2764,07089,477718.355,6095.382028,0.012759363
3112,07003,51483.693,3094.377233,0.060104026
3112,07032,99228.344,2110.209324,0.021266195
3112,07003,51483.693,2953.988022,0.057377159
3112,07003,51483.693,444.5384707,0.008634549
3113,07071,36090.464,853.5873478,0.023651326
3113,07071,36090.464,4270.059925,0.118315461
3113,07071,36090.464,2471.661015,0.068485154
3113,07032,99228.344,7284.390721,0.073410383
3113,07032,99228.344,2383.045633,0.024015775
3113,07032,99228.344,2452.411777,0.024714831
3113,07032,99228.344,6835.459521,0.068886159
3113,07032,99228.344,5183.803034,0.052241152
3113,07071,36090.464,9688.336075,0.268445868
3114,07071,36090.464,1408.526583,0.039027666
3114,07071,36090.464,2828.602041,0.078375329
3115,07040,39979.959,42.04017515,0.001051531
3115,07103,78345.114,7995.396756,0.102053546
3115,07057,161141.549,12790.51716,0.079374421
3116,07057,161141.549,908.6092478,0.005638578
3464,07001,48473.214,3566.473498,0.073576171
3464,07001,48473.214,4326.952137,0.089264807
3464,07001,48473.214,3793.966834,0.078269347
3464,07001,48473.214,1506.35563,0.031076042
3464,07003,51483.693,270.0434427,0.005245223
3464,07001,48473.214,1139.246884,0.023502607
3464,07003,51483.693,295.8983994,0.00574742
3464,07001,48473.214,958.1094336,0.01976575
3464,07003,51483.693,2411.204653,0.046834338
3465,07003,51483.693,1757.971502,0.034146181
3465,07032,99228.344,1857.933349,0.018723817
3465,07032,99228.344,4372.952608,0.044069592
3465,07032,99228.344,1374.999424,0.013856922
3465,07032,99228.344,3150.463626,0.031749634
3465,07001,48473.214,3844.847874,0.07931902
3465,07032,99228.344,4801.608295,0.048389483
3465,07032,99228.344,5934.702762,0.059808544
3465,07032,99228.344,5411.747319,0.054538321
3465,07001,48473.214,6301.167973,0.129992782
3465,07032,99228.344,1581.682472,0.015939825
3465,07001,48473.214,16269.63244,0.335641708
3466,07032,99228.344,22071.43429,0.222430742
3466,07032,99228.344,3117.085277,0.031413255
3467,07032,99228.344,3012.58979,0.030360174
3469,07057,161141.549,6171.185991,0.038296678
3469,07057,161141.549,23667.36644,0.146873148
3470,07057,161141.549,7658.069018,0.047523864
3470,07057,161141.549,5487.545141,0.034054191
3470,07057,161141.549,6260.888473,0.038853347
3815,07051,134001.364,4831.167946,0.036053125
3815,07051,134001.364,12644.81526,0.094363333
3815,07051,134001.364,1180.867636,0.008812355
3816,07051,134001.364,12115.28834,0.090411679
3816,07051,134001.364,4315.494009,0.032204851
3816,07051,134001.364,3877.260015,0.028934482
3816,07003,51483.693,4843.050256,0.094069597
3816,07051,134001.364,7177.676209,0.053564203
3817,07003,51483.693,20704.44061,0.402155313
3817,07051,134001.364,790.2888671,0.005897618
3822,07070,35213.016,1710.017241,0.048562079
3822,07057,161141.549,23048.41731,0.14303212
3823,07057,161141.549,7138.629658,0.044300366
3823,07057,161141.549,5674.533032,0.035214587
3823,07053,18755.150,226.5999464,0.012082012
3823,07057,161141.549,5108.141126,0.031699715
3824,07006,67357.398,2920.609186,0.043359887
3824,07053,18755.150,18302.43975,0.975862096
4122,20439,132072.025,2151.897547,0.016293364
4122,20439,132072.025,6181.027391,0.046800429
4123,20439,132072.025,17167.32314,0.129984553
4124,20439,132072.025,6093.436521,0.046137223
4124,20439,132072.025,6987.803177,0.052909033
4124,20439,132072.025,5799.589443,0.043912323
4124,20439,132072.025,14670.10957,0.111076586
4125,20439,132072.025,1632.479292,0.012360523
4125,20324,119476.018,13146.57414,0.110035255
4125,20324,119476.018,1449.662147,0.012133499
4125,20324,119476.018,7513.660845,0.062888444
4125,20439,132072.025,7950.854595,0.060200899
4126,20324,119476.018,11906.41776,0.099655294
4167,07069,290206.572,26869.58527,0.092587791
4167,07051,134001.364,1199.90148,0.008954398
4168,07051,134001.364,9780.716162,0.072989676
4168,07051,134001.364,21685.65386,0.161831591
4175,07080,31139.571,1549.049079,0.049745357
4175,07070,35213.016,230.4186456,0.006543565
4175,07080,31139.571,6802.754293,0.218460116
4175,07070,35213.016,3605.593286,0.102393766
4175,07080,31139.571,4987.409985,0.160163093
4176,07070,35213.016,4919.65735,0.139711333
4176,07080,31139.571,8004.895658,0.257065059
4176,07070,35213.016,2081.37952,0.059108244
4176,07070,35213.016,16063.18731,0.456171875
4176,07070,35213.016,1081.243252,0.030705784
4176,07036,27625.947,1612.979626,0.058386401
4177,07006,67357.398,696.2424331,0.01033654
4178,07006,67357.398,5733.646527,0.085122744
4178,07006,67357.398,17915.21223,0.265972451
4472,20401,100577.870,12263.23239,0.12192774
4473,20401,100577.870,19274.81411,0.191640707
4474,20401,100577.870,1192.181205,0.011853315
4474,20439,132072.025,11730.45963,0.088818655
4474,20401,100577.870,7618.373994,0.075746026
4475,20439,132072.025,9975.184546,0.075528368
4476,20439,132072.025,1532.572966,0.01160407
4478,20439,132072.025,1499.861362,0.01135639
4478,20324,119476.018,7223.112478,0.060456588
4478,20439,132072.025,7404.844928,0.056066718
4478,20324,119476.018,1457.461861,0.012198782
4478,20324,119476.018,885.0510981,0.007407772
4478,20324,119476.018,2159.169805,0.018071993
4479,20324,119476.018,8600.419971,0.071984488
4479,20324,119476.018,15549.05881,0.130143765
4480,20413,226584.738,6966.288182,0.030744737
4480,20324,119476.018,13330.79718,0.11157718
4480,20413,226584.738,2058.532468,0.009085045
4481,20413,226584.738,6924.508555,0.030560348
4481,20413,226584.738,12967.72544,0.05723124
4481,20413,226584.738,9695.028086,0.042787648
4482,20413,226584.738,736.8573079,0.003252017
4482,20413,226584.738,13343.54719,0.058889876
4482,20413,226584.738,5910.111706,0.02608345
4482,20413,226584.738,14396.69345,0.06353779
4482,20413,226584.738,5564.204693,0.024556838
4483,20413,226584.738,3094.549344,0.01365736
4483,20413,226584.738,3241.78306,0.014307155
4483,20413,226584.738,32952.09015,0.145429434
4483,20413,226584.738,4276.91373,0.01887556
4518,07069,290206.572,8528.273957,0.029386908
4519,07069,290206.572,44690.92195,0.153996933
4520,07069,290206.572,14970.78319,0.051586644
4528,07080,31139.571,4904.323939,0.15749491
4530,07006,67357.398,12617.55215,0.18732244
4531,07010,15567.303,2763.137195,0.177496203
4531,07006,67357.398,9505.64596,0.141122523
4824,20401,100577.870,3805.892989,0.037840262
4824,20318,103895.978,1981.910878,0.019075915
4824,20318,103895.978,16075.13671,0.154723378
4824,20318,103895.978,11172.18372,0.107532399
4825,20401,100577.870,2545.215165,0.025305916
4825,20401,100577.870,6666.512364,0.066282099
4825,20401,100577.870,13.73188115,0.00013653
4825,20401,100577.870,21791.71371,0.216665094
4826,20401,100577.870,6450.521502,0.0641346
4831,20324,119476.018,2802.485894,0.023456472
4831,20012,32243.022,423.3415619,0.013129711
4831,20324,119476.018,8604.705224,0.072020355
4832,20324,119476.018,10916.30148,0.091368139
4833,20413,226584.738,8296.145049,0.036613874
4836,20413,226584.738,12969.00533,0.057236888
4836,20413,226584.738,885.7559454,0.00390916
4836,20266,109116.113,4274.885452,0.039177399
4836,20413,226584.738,6646.110806,0.029331679
4837,20266,109116.113,9523.135431,0.087275244
4837,20307,110558.456,3107.778007,0.028109817
4837,20307,110558.456,2257.374683,0.020417929
4837,20307,110558.456,9319.198931,0.08429205
4838,20307,110558.456,1030.404412,0.009319996
4870,07069,290206.572,540.3616763,0.00186199
4870,07069,290206.572,964.4032948,0.003323161
4870,07069,290206.572,1108.067863,0.003818204
4870,07069,290206.572,39128.06834,0.134828333
4871,07069,290206.572,6402.211871,0.022060878
4871,07069,290206.572,21395.55563,0.073725262
4883,07034,118730.468,5570.658487,0.046918526
4883,07006,67357.398,8833.848142,0.131148893
4883,07006,67357.398,2387.455418,0.035444591
4883,07034,118730.468,2153.497668,0.018137701
4883,07034,118730.468,12224.623,0.102961129
4883,07011,19535.262,2494.895066,0.127712392
4885,07034,118730.468,2893.967818,0.024374264
5172,20334,235050.102,7344.587413,0.031246902
5172,20334,235050.102,428.2251516,0.001821846
5173,20334,235050.102,12881.09553,0.054801489
5174,20334,235050.102,19200.87127,0.081688419
5175,20334,235050.102,21084.45084,0.089701943
5176,20334,235050.102,4497.937864,0.019136081
5176,20318,103895.978,16725.59696,0.160984066
5177,20318,103895.978,2695.855375,0.025947639
5177,20318,103895.978,2049.103358,0.019722644
5177,20318,103895.978,19624.64987,0.188887484
5177,20318,103895.978,1114.611306,0.010728147
5177,20318,103895.978,2308.82124,0.022222431
5184,20071,34146.392,1581.213601,0.046306901
5184,20012,32243.022,999.1093471,0.03098684
5184,20071,34146.392,8131.240227,0.238128825
5184,20012,32243.022,1665.895197,0.051666845
5184,20071,34146.392,8717.270898,0.255291126
5184,20012,32243.022,9743.371976,0.302185449
5185,20071,34146.392,210.0778485,0.006152271
5185,20012,32243.022,393.9586877,0.012218417
5185,20071,34146.392,668.8999391,0.019589183
5185,20012,32243.022,191.4075931,0.005936404
5191,20307,110558.456,5491.382717,0.049669495
5191,20307,110558.456,13889.64325,0.125631668
5192,20307,110558.456,8708.019751,0.078763941
5192,20307,110558.456,12106.14282,0.109499927
5193,20307,110558.456,8389.343823,0.075881521
5221,07097,440323.741,441.6742148,0.001003067
5221,07069,290206.572,31444.63475,0.108352594
5222,07069,290206.572,40996.07692,0.141265157
5223,07069,290206.572,2620.067401,0.009028284
5234,07030,61927.631,1346.096183,0.021736601
