GRIDCODE,CVENTMUN,Fpv,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
294,7087,0.071431098,52317.1077,3737.068423
294,7087,0.072718629,52317.1077,3804.42833
294,7087,0.024839158,52317.1077,1299.512905
295,7087,0.003144961,52317.1077,164.5352435
646,7087,0.224047302,52317.1077,11721.50684
646,7089,0.009756978,307682.014,3002.046499
646,7087,0.016763222,52317.1077,877.0032881
647,7087,0.002416392,52317.1077,126.418651
648,7087,0.350249382,52317.1077,18324.03466
648,7087,0.043128259,52317.1077,2256.345769
998,7089,0.0178393,307682.014,5488.831725
998,7089,0.003346537,307682.014,1029.669255
998,7089,0.11961402,307682.014,36803.08264
999,7089,0.05981011,307682.014,18402.49498
1001,7035,0.494452364,19059.55985,9424.044422
1001,7087,0.191261597,52317.1077,10006.25359
1350,7054,0.064476037,25168.32001,1622.753522
1351,7089,0.001324586,307682.014,407.5511869
1351,7089,0.002326884,307682.014,715.9404389
1351,7089,0.057460485,307682.014,17679.55772
1352,7089,0.005490261,307682.014,1689.254418
1352,7089,0.00332097,307682.014,1021.802653
1352,7089,0.023884345,307682.014,7348.783505
1352,7089,0.059557407,307682.014,18324.74306
1353,7055,0.723182378,9225.297256,6671.572405
1353,7035,0.404358904,19059.55985,7706.902726
1353,7102,0.016734944,51231.40366,857.3546467
1353,7055,0.276817622,9225.297256,2553.724851
1354,7035,0.101188732,19059.55985,1928.612698
1703,7054,0.279183026,25168.32001,7026.567728
1703,7054,0.158601258,25168.32001,3991.72722
1703,7054,0.1619434,25168.32001,4075.843326
1703,7054,0.201419863,25168.32001,5069.399564
1704,7089,0.05789689,307682.014,17813.83183
1704,7089,0.030325751,307682.014,9330.688103
1704,7037,0.012102372,69049.3379,835.6607843
1704,7089,0.018755346,307682.014,5770.682513
1704,7054,0.134376416,25168.32001,3382.028646
1704,7089,0.003243343,307682.014,997.9181682
1704,7089,0.014758509,307682.014,4540.927636
1705,7089,0.016121185,307682.014,4960.198769
1705,7089,0.007733157,307682.014,2379.353249
1705,7089,0.051866503,307682.014,15958.38996
1705,7089,0.108448375,307682.014,33367.61454
1705,7089,0.015886588,307682.014,4888.017282
1705,7089,0.005107658,307682.014,1571.534416
1705,7089,0.012406602,307682.014,3817.288244
1705,7089,0.009066982,307682.014,2789.747229
1705,7089,0.012704634,307682.014,3908.987338
1705,7089,0.027774308,307682.014,8545.655133
1706,7102,0.074285697,51231.40366,3805.760522
1706,7089,0.013291951,307682.014,4089.694328
1706,7102,0.185331209,51231.40366,9494.777973
1706,7102,0.104305215,51231.40366,5343.702596
1706,7102,0.164639961,51231.40366,8434.736317
1706,7102,0.086019394,51231.40366,4406.894284
1706,7102,0.035810175,51231.40366,1834.605517
2057,7037,0.073353491,69049.3379,5065.009955
2057,7089,0.000390775,307682.014,120.2344618
2057,7037,0.365140919,69049.3379,25212.7387
2057,7037,0.13110893,69049.3379,9052.984805
2057,7037,0.016432295,69049.3379,1134.639073
2057,7037,0.004028768,69049.3379,278.1837769
2057,7037,0.077077157,69049.3379,5322.126647
2058,7089,0.015190206,307682.014,4673.753106
2058,7089,0.011557823,307682.014,3556.134111
2059,7015,0.012691173,19994.52909,253.7540345
2059,7015,0.078797928,19994.52909,1575.527457
2059,7089,0.010069333,307682.014,3098.152777
2059,7089,0.02472237,307682.014,7606.628469
2059,7102,0.036268574,51231.40366,1858.089945
2059,7015,0.188651781,19994.52909,3772.003532
2060,7102,0.024362236,51231.40366,1248.111553
2060,7102,0.124095616,51231.40366,6357.59259
