GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES,Fter
294,07087,75871.412,4931.564,0.064998977
294,07087,75871.412,4279.097,0.056399335
645,07089,477718.355,58.684,0.000122843
645,07089,477718.355,4708.356,0.009855923
646,07087,75871.412,5928.012,0.078132355
646,07087,75871.412,2112.439,0.027842359
646,07089,477718.355,22.730,4.75797E-05
997,07089,477718.355,9423.294,0.019725627
997,07054,121557.373,11084.994,0.091191461
998,07089,477718.355,3323.658,0.006957358
998,07089,477718.355,4626.689,0.009684971
999,07087,75871.412,2607.507,0.034367455
999,07089,477718.355,7011.088,0.014676196
1000,07087,75871.412,1921.770,0.025329297
1000,07035,30190.107,8685.593,0.287696669
1000,07087,75871.412,1773.915,0.023380542
1000,07102,126617.212,4036.835,0.031882196
1000,07035,30190.107,2444.954,0.080985261
1349,07054,121557.373,18510.573,0.15227849
1349,07054,121557.373,3764.997,0.030973003
1350,07054,121557.373,15567.078,0.128063626
1350,07054,121557.373,5088.734,0.041862819
1350,07054,121557.373,3826.141,0.031476011
1350,07054,121557.373,3226.827,0.026545715
1350,07054,121557.373,2570.965,0.021150219
1350,07054,121557.373,524.634,0.004315938
1351,07089,477718.355,11652.694,0.024392394
1351,07054,121557.373,6867.625,0.056496981
1351,07089,477718.355,4027.422,0.008430536
1351,07089,477718.355,4865.750,0.010185394
1352,07089,477718.355,6891.770,0.014426428
1352,07089,477718.355,1470.285,0.003077723
1352,07089,477718.355,2581.444,0.005403694
1352,07089,477718.355,151.650,0.000317446
1352,07089,477718.355,921.173,0.001928276
1352,07089,477718.355,192.982,0.000403966
1352,07089,477718.355,8178.360,0.017119627
1353,07102,126617.212,6694.048,0.052868385
1353,07102,126617.212,14915.787,0.117802207
1353,07055,12404.874,486.967,0.039256097
1353,07102,126617.212,999.756,0.00789589
1353,07055,12404.874,2692.610,0.217060642
1701,07054,121557.373,11328.087,0.09319128
1702,07054,121557.373,1111.663,0.009145168
1702,07054,121557.373,1233.394,0.010146599
1703,07037,106950.180,6177.071,0.057756527
1703,07054,121557.373,7156.348,0.058872183
1703,07054,121557.373,2748.014,0.022606728
1703,07054,121557.373,1778.978,0.01463488
1705,07089,477718.355,222.544,0.000465849
1706,07102,126617.212,12553.375,0.099144301
1706,07102,126617.212,8675.647,0.068518703
1706,07102,126617.212,2013.010,0.015898388
1706,07102,126617.212,3360.866,0.026543518
