GRIDCODE,CVENTMUN,Fter,,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
294,7087,0.209369973,,23554.304,4931.564
294,7087,0.181669431,,23554.304,4279.097
645,7089,0.000345126,,170036.344,58.684
645,7089,0.027690292,,170036.344,4708.356
646,7087,0.251674259,,23554.304,5928.012
646,7087,0.089683779,,23554.304,2112.439
646,7089,0.000133677,,170036.344,22.73
997,7089,0.055419293,,170036.344,9423.294
997,7054,0.115002625,,96389.052,11084.994
998,7089,0.019546751,,170036.344,3323.658
998,7089,0.02721,,170036.344,4626.689
999,7087,0.110701934,,23554.304,2607.507
999,7089,0.041232879,,170036.344,7011.088
1000,7087,0.08158891,,23554.304,1921.77
1000,7035,0.780338379,,11130.547,8685.593
1000,7087,0.075311714,,23554.304,1773.915
1000,7102,0.053549003,,75385.81,4036.835
1000,7035,0.219661621,,11130.547,2444.954
1349,7054,0.192040202,,96389.052,18510.573
1349,7054,0.039060422,,96389.052,3764.997
1350,7054,0.161502553,,96389.052,15567.078
1350,7054,0.052793693,,96389.052,5088.734
1350,7054,0.039694767,,96389.052,3826.141
1350,7054,0.033477111,,96389.052,3226.827
1350,7054,0.026672791,,96389.052,2570.965
1350,7054,0.00544288,,96389.052,524.634
1351,7089,0.068530608,,170036.344,11652.694
1351,7054,0.071249015,,96389.052,6867.625
1351,7089,0.023685654,,170036.344,4027.422
1351,7089,0.028615941,,170036.344,4865.75
1352,7089,0.040531158,,170036.344,6891.77
1352,7089,0.008646887,,170036.344,1470.285
1352,7089,0.015181719,,170036.344,2581.444
1352,7089,0.000891868,,170036.344,151.65
1352,7089,0.005417507,,170036.344,921.173
1352,7089,0.001134946,,170036.344,192.982
1352,7089,0.048097717,,170036.344,8178.36
1353,7102,0.088797189,,75385.81,6694.048
1353,7102,0.197859345,,75385.81,14915.787
1353,7055,0.153154649,,3179.577,486.967
1353,7102,0.013261859,,75385.81,999.756
1353,7055,0.846845351,,3179.577,2692.61
1701,7054,0.117524623,,96389.052,11328.087
1702,7054,0.011533084,,96389.052,1111.663
1702,7054,0.012795997,,96389.052,1233.394
1703,7037,0.162979787,,37900.841,6177.071
1703,7054,0.074244407,,96389.052,7156.348
1703,7054,0.028509607,,96389.052,2748.014
1703,7054,0.018456225,,96389.052,1778.978
1705,7089,0.001308803,,170036.344,222.544
1706,7102,0.166521723,,75385.81,12553.375
1706,7102,0.11508329,,75385.81,8675.647
1706,7102,0.026702771,,75385.81,2013.01
1706,7102,0.04458221,,75385.81,3360.866
1707,7102,0.263733427,,75385.81,19881.758
2056,7037,0.336013547,,37900.841,12735.196
2056,7037,0.053231774,,37900.841,2017.529
2057,7037,0.053150193,,37900.841,2014.437
2057,7037,0.096506513,,37900.841,3657.678
2057,7037,0.012037754,,37900.841,456.241
2057,7037,0.034485514,,37900.841,1307.03
2058,7089,0.016808724,,170036.344,2858.094
2059,7102,0.027188671,,75385.81,2049.64
2059,7089,0.07202262,,170036.344,12246.463
2059,7089,0.026113582,,170036.344,4440.258
2060,7102,0.002720512,,75385.81,205.088
2409,7103,0.031349393,,17806.437,558.221
