month,iday,Day_type,cday,,,
1,1,7,dom,,,
1,2,1,lun,,,
1,3,2,mar,,,
1,4,3,mie,,,
1,5,4,jue,,,
1,6,5,vie,,,
1,7,6,sab,,,
1,8,7,dom,,,
1,9,1,lun,,,
1,10,2,mar,,,
1,11,3,mie,,,
1,12,4,jue,,,
1,13,5,vie,,,
1,14,6,sab,,,
1,15,7,dom,,,
1,16,1,lun,,,
1,17,2,mar,,,
1,18,3,mie,,,
1,19,4,jue,,,
1,20,5,vie,,,
1,21,6,sab,,,
1,22,7,dom,,,
1,23,1,lun,,,
1,24,2,mar,,,
1,25,3,mie,,,
1,26,4,jue,,,
1,27,5,vie,,,
1,28,6,sab,,,
1,29,7,dom,,,
1,30,1,lun,,,
1,31,2,mar,,,
2,1,3,mie,,,
2,2,4,jue,,,
2,3,5,vie,,,
2,4,6,sab,,,
2,5,7,dom,,,
2,6,1,lun,,,
2,7,2,mar,,,
2,8,3,mie,,,
2,9,4,jue,,,
2,10,5,vie,,,
2,11,6,sab,,,
2,12,7,dom,,,
2,13,1,lun,,,
2,14,2,mar,,,
2,15,3,mie,,,
2,16,4,jue,,,
2,17,5,vie,,,
2,18,6,sab,,,
2,19,7,dom,,,
2,20,1,lun,,,
2,21,2,mar,,,
2,22,3,mie,,,
2,23,4,jue,,,
2,24,5,vie,,,
2,25,6,sab,,,
2,26,7,dom,,,
2,27,1,lun,,,
2,28,2,mar,,,
3,1,3,mie,,,
3,2,4,jue,,,
3,3,5,vie,,,
3,4,6,sab,,,
3,5,7,dom,,,
3,6,1,lun,,,
3,7,2,mar,,,
3,8,3,mie,,,
3,9,4,jue,,,
3,10,5,vie,,,
3,11,6,sab,,,
3,12,7,dom,,,
3,13,1,lun,,,
3,14,2,mar,,,
3,15,3,mie,,,
3,16,4,jue,,,
3,17,5,vie,,,
3,18,6,sab,,,
3,19,7,dom,,,
3,20,1,lun,,,
3,21,2,mar,,,
3,22,3,mie,,,
3,23,4,jue,,,
3,24,5,vie,,,
3,25,6,sab,,,
3,26,7,dom,,,
3,27,1,lun,,,
3,28,2,mar,,,
3,29,3,mie,,,
3,30,4,jue,,,
3,31,5,vie,,,
4,1,6,sab,,,
4,2,7,dom,,,
4,3,1,lun,,,
4,4,2,mar,,,
4,5,3,mie,,,
4,6,4,jue,,,
4,7,5,vie,,,
4,8,6,sab,,,
4,9,7,dom,,,
4,10,1,lun,,,
4,11,2,mar,,,
4,12,3,mie,,,
4,13,4,jue,,,
4,14,5,vie,,,
4,15,6,sab,,,
4,16,7,dom,,,
4,17,1,lun,,,
4,18,2,mar,,,
4,19,3,mie,,,
4,20,4,jue,,,
4,21,5,vie,,,
4,22,6,sab,,,
4,23,7,dom,,,
4,24,1,lun,,,
4,25,2,mar,,,
4,26,3,mie,,,
4,27,4,jue,,,
4,28,5,vie,,,
4,29,6,sab,,,
4,30,7,dom,,,
5,1,1,lun,,,
5,2,2,mar,,,
5,3,3,mie,,,
5,4,4,jue,,,
5,5,5,vie,,,
5,6,6,sab,,,
5,7,7,dom,,,
5,8,1,lun,,,
5,9,2,mar,,,
5,10,3,mie,,,
5,11,4,jue,,,
5,12,5,vie,,,
5,13,6,sab,,,
5,14,7,dom,,,
5,15,1,lun,,,
5,16,2,mar,,,
5,17,3,mie,,,
5,18,4,jue,,,
5,19,5,vie,,,
5,20,6,sab,,,
5,21,7,dom,,,
5,22,1,lun,,,
5,23,2,mar,,,
5,24,3,mie,,,
5,25,4,jue,,,
5,26,5,vie,,,
5,27,6,sab,,,
5,28,7,dom,,,
5,29,1,lun,,,
5,30,2,mar,,,
5,31,3,mie,,,
6,1,4,jue,,,
6,2,5,vie,,,
6,3,6,sab,,,
6,4,7,dom,,,
6,5,1,lun,,,
6,6,2,mar,,,
6,7,3,mie,,,
6,8,4,jue,,,
6,9,5,vie,,,
6,10,6,sab,,,
6,11,7,dom,,,
6,12,1,lun,,,
6,13,2,mar,,,
6,14,3,mie,,,
6,15,4,jue,,,
6,16,5,vie,,,
6,17,6,sab,,,
6,18,7,dom,,,
6,19,1,lun,,,
6,20,2,mar,,,
6,21,3,mie,,,
6,22,4,jue,,,
6,23,5,vie,,,
6,24,6,sab,,,
6,25,7,dom,,,
6,26,1,lun,,,
6,27,2,mar,,,
6,28,3,mie,,,
6,29,4,jue,,,
6,30,5,vie,,,
7,1,6,sab,,,
7,2,7,dom,,,
7,3,1,lun,,,
7,4,2,mar,,,
7,5,3,mie,,,
7,6,4,jue,,,
7,7,5,vie,,,
7,8,6,sab,,,
7,9,7,dom,,,
7,10,1,lun,,,
7,11,2,mar,,,
7,12,3,mie,,,
7,13,4,jue,,,
7,14,5,vie,,,
7,15,6,sab,,,
7,16,7,dom,,,
7,17,1,lun,,,
7,18,2,mar,,,
7,19,3,mie,,,
7,20,4,jue,,,
7,21,5,vie,,,
7,22,6,sab,,,
7,23,7,dom,,,
7,24,1,lun,,,
7,25,2,mar,,,
7,26,3,mie,,,
7,27,4,jue,,,
7,28,5,vie,,,
7,29,6,sab,,,
7,30,7,dom,,,
7,31,1,lun,,,
8,1,2,mar,,,
8,2,3,mie,,,
8,3,4,jue,,,
8,4,5,vie,,,
8,5,6,sab,,,
8,6,7,dom,,,
8,7,1,lun,,,
8,8,2,mar,,,
8,9,3,mie,,,
8,10,4,jue,,,
8,11,5,vie,,,
8,12,6,sab,,,
8,13,7,dom,,,
8,14,1,lun,,,
8,15,2,mar,,,
8,16,3,mie,,,
8,17,4,jue,,,
8,18,5,vie,,,
8,19,6,sab,,,
8,20,7,dom,,,
8,21,1,lun,,,
8,22,2,mar,,,
8,23,3,mie,,,
8,24,4,jue,,,
8,25,5,vie,,,
8,26,6,sab,,,
8,27,7,dom,,,
8,28,1,lun,,,
8,29,2,mar,,,
8,30,3,mie,,,
