month,iday,Day_type,cday
1,1,3,mie
1,2,4,jue
1,3,5,vie
1,4,6,sab
1,5,7,dom
1,6,1,lun
1,7,2,mar
1,8,3,mie
1,9,4,jue
1,10,5,vie
1,11,6,sab
1,12,7,dom
1,13,1,lun
1,14,2,mar
1,15,3,mie
1,16,4,jue
1,17,5,vie
1,18,6,sab
1,19,7,dom
1,20,1,lun
1,21,2,mar
1,22,3,mie
1,23,4,jue
1,24,5,vie
1,25,6,sab
1,26,7,dom
1,27,1,lun
1,28,2,mar
1,29,3,mie
1,30,4,jue
1,31,5,vie
2,1,6,sab
2,2,7,dom
2,3,1,lun
2,4,2,mar
2,5,3,mie
2,6,4,jue
2,7,5,vie
2,8,6,sab
2,9,7,dom
2,10,1,lun
2,11,2,mar
2,12,3,mie
2,13,4,jue
2,14,5,vie
2,15,6,sab
2,16,7,dom
2,17,1,lun
2,18,2,mar
2,19,3,mie
2,20,4,jue
2,21,5,vie
2,22,6,sab
2,23,7,dom
2,24,1,lun
2,25,2,mar
2,26,3,mie
2,27,4,jue
2,28,5,vie
2,29,6,sab
3,1,7,dom
3,2,1,lun
3,3,2,mar
3,4,3,mie
3,5,4,jue
3,6,5,vie
3,7,6,sab
3,8,7,dom
3,9,1,lun
3,10,2,mar
3,11,3,mie
3,12,4,jue
3,13,5,vie
3,14,6,sab
3,15,7,dom
3,16,1,lun
3,17,2,mar
3,18,3,mie
3,19,4,jue
3,20,5,vie
3,21,6,sab
3,22,7,dom
3,23,1,lun
3,24,2,mar
3,25,3,mie
3,26,4,jue
3,27,5,vie
3,28,6,sab
3,29,7,dom
3,30,1,lun
3,31,2,mar
4,1,3,mie
4,2,4,jue
4,3,5,vie
4,4,6,sab
4,5,7,dom
4,6,1,lun
4,7,2,mar
4,8,3,mie
4,9,4,jue
4,10,5,vie
4,11,6,sab
4,12,7,dom
4,13,1,lun
4,14,2,mar
4,15,3,mie
4,16,4,jue
4,17,5,vie
4,18,6,sab
4,19,7,dom
4,20,1,lun
4,21,2,mar
4,22,3,mie
4,23,4,jue
4,24,5,vie
4,25,6,sab
4,26,7,dom
4,27,1,lun
4,28,2,mar
4,29,3,mie
4,30,4,jue
5,1,5,vie
5,2,6,sab
5,3,7,dom
5,4,1,lun
5,5,2,mar
5,6,3,mie
5,7,4,jue
5,8,5,vie
5,9,6,sab
5,10,7,dom
5,11,1,lun
5,12,2,mar
5,13,3,mie
5,14,4,jue
5,15,5,vie
5,16,6,sab
5,17,7,dom
5,18,1,lun
5,19,2,mar
5,20,3,mie
5,21,4,jue
5,22,5,vie
5,23,6,sab
5,24,7,dom
5,25,1,lun
5,26,2,mar
5,27,3,mie
5,28,4,jue
5,29,5,vie
5,30,6,sab
5,31,7,dom
6,1,1,lun
6,2,2,mar
6,3,3,mie
6,4,4,jue
6,5,5,vie
6,6,6,sab
6,7,7,dom
6,8,1,lun
6,9,2,mar
6,10,3,mie
6,11,4,jue
6,12,5,vie
6,13,6,sab
6,14,7,dom
6,15,1,lun
6,16,2,mar
6,17,3,mie
6,18,4,jue
6,19,5,vie
6,20,6,sab
6,21,7,dom
6,22,1,lun
6,23,2,mar
6,24,3,mie
6,25,4,jue
6,26,5,vie
6,27,6,sab
6,28,7,dom
6,29,1,lun
6,30,2,mar
7,1,3,mie
7,2,4,jue
7,3,5,vie
7,4,6,sab
7,5,7,dom
7,6,1,lun
7,7,2,mar
7,8,3,mie
7,9,4,jue
7,10,5,vie
7,11,6,sab
7,12,7,dom
7,13,1,lun
7,14,2,mar
7,15,3,mie
7,16,4,jue
7,17,5,vie
7,18,6,sab
7,19,7,dom
7,20,1,lun
7,21,2,mar
7,22,3,mie
7,23,4,jue
7,24,5,vie
7,25,6,sab
7,26,7,dom
7,27,1,lun
7,28,2,mar
7,29,3,mie
7,30,4,jue
7,31,5,vie
8,1,6,sab
8,2,7,dom
8,3,1,lun
8,4,2,mar
8,5,3,mie
8,6,4,jue
8,7,5,vie
8,8,6,sab
8,9,7,dom
8,10,1,lun
8,11,2,mar
8,12,3,mie
8,13,4,jue
8,14,5,vie
8,15,6,sab
8,16,7,dom
8,17,1,lun
8,18,2,mar
8,19,3,mie
8,20,4,jue
8,21,5,vie
8,22,6,sab
8,23,7,dom
8,24,1,lun
8,25,2,mar
8,26,3,mie
8,27,4,jue
8,28,5,vie
8,29,6,sab
8,30,7,dom
8,31,1,lun
9,1,2,mar
9,2,3,mie
9,3,4,jue
9,4,5,vie
9,5,6,sab
9,6,7,dom
9,7,1,lun
9,8,2,mar
9,9,3,mie
9,10,4,jue
