CVID,Horas,Uso
1000,6,CST
1001,6,CST
1002,6,CST
1003,6,CST
1004,6,CST
1005,6,CST
1006,6,CST
1007,6,CST
1008,6,CST
1009,6,CST
1010,6,CST
1011,6,CST
2000,8,PST
2001,8,PST
2002,8,PST
2003,8,PST
2004,8,PST
2005,8,PST
2020,8,PST
3000,8,PST
3001,8,PST
3002,8,PST
3003,8,PST
3008,8,PST
3009,8,PST
4000,6,CST
4001,6,CST
4002,6,CST
4003,6,CST
4004,6,CST
4005,6,CST
4006,6,CST
4007,6,CST
4008,6,CST
4009,6,CST
4010,6,CST
4011,6,CST
5000,6,CST
5001,6,CST
5002,6,CST
5003,6,CST
5004,6,CST
5005,6,CST
5006,6,CST
5007,6,CST
5008,6,CST
5009,6,CST
5010,6,CST
5011,6,CST
5012,6,CST
5013,6,CST
5014,6,CST
5015,6,CST
5016,6,CST
5017,6,CST
5018,6,CST
5019,6,CST
5020,6,CST
5021,6,CST
5022,6,CST
5023,6,CST
5024,6,CST
5025,6,CST
5026,6,CST
5027,6,CST
5028,6,CST
5029,6,CST
5030,6,CST
5031,6,CST
5032,6,CST
5033,6,CST
5034,6,CST
5035,6,CST
5036,6,CST
5037,6,CST
5038,6,CST
6000,6,CST
6001,6,CST
6002,6,CST
6003,6,CST
6004,6,CST
6005,6,CST
6006,6,CST
6007,6,CST
6008,6,CST
6009,6,CST
6010,6,CST
7000,6,CST
7001,6,CST
7002,6,CST
7003,6,CST
7004,6,CST
7005,6,CST
7006,6,CST
7007,6,CST
7008,6,CST
7009,6,CST
7010,6,CST
7011,6,CST
7012,6,CST
7013,6,CST
7014,6,CST
7015,6,CST
7016,6,CST
7017,6,CST
7018,6,CST
7019,6,CST
7020,6,CST
7021,6,CST
7022,6,CST
7023,6,CST
7024,6,CST
7025,6,CST
7026,6,CST
7027,6,CST
7028,6,CST
7029,6,CST
7030,6,CST
7031,6,CST
7032,6,CST
7033,6,CST
7034,6,CST
7035,6,CST
7036,6,CST
7037,6,CST
7038,6,CST
7039,6,CST
7040,6,CST
7041,6,CST
7042,6,CST
7043,6,CST
7044,6,CST
7045,6,CST
7046,6,CST
7047,6,CST
7048,6,CST
7049,6,CST
7050,6,CST
7051,6,CST
7052,6,CST
7053,6,CST
7054,6,CST
7055,6,CST
7056,6,CST
7057,6,CST
7058,6,CST
7059,6,CST
7060,6,CST
7061,6,CST
7062,6,CST
7063,6,CST
7064,6,CST
7065,6,CST
7066,6,CST
7067,6,CST
7068,6,CST
7069,6,CST
7070,6,CST
7071,6,CST
7072,6,CST
7073,6,CST
7074,6,CST
7075,6,CST
7076,6,CST
7077,6,CST
7078,6,CST
7079,6,CST
7080,6,CST
7081,6,CST
7082,6,CST
7083,6,CST
7084,6,CST
7085,6,CST
7086,6,CST
7087,6,CST
7088,6,CST
7089,6,CST
7090,6,CST
7091,6,CST
7092,6,CST
7093,6,CST
7094,6,CST
7096,6,CST
7097,6,CST
7098,6,CST
7099,6,CST
7100,6,CST
7101,6,CST
7102,6,CST
7103,6,CST
7104,6,CST
7105,6,CST
7106,6,CST
7107,6,CST
7108,6,CST
7109,6,CST
7110,6,CST
7111,6,CST
7112,6,CST
7113,6,CST
7114,6,CST
7115,6,CST
7116,6,CST
7117,6,CST
7118,6,CST
7119,6,CST
8000,7,MST
8001,7,MST
8002,7,MST
8003,7,MST
8004,7,MST
8005,7,MST
8006,7,MST
8007,7,MST
8008,7,MST
8009,7,MST
8010,7,MST
8011,7,MST
8012,7,MST
8013,7,MST
8014,7,MST
8015,7,MST
8016,7,MST
8017,7,MST
8018,7,MST
8019,7,MST
8020,7,MST
8021,7,MST
8022,7,MST
8023,7,MST
8024,7,MST
8025,7,MST
8026,7,MST
