ProfNum	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total	!	Description
1	0	0	0	0	0	110	110	110	223	223	223	0	999		
2	0	0	0	0	0	290	290	290	43	43	43	0	999		
3	0	0	63	63	63	167	167	167	103	103	103	0	999		
4	13	13	91	91	91	137	137	137	92	92	92	13	999		
5	17	17	17	17	17	167	167	167	133	133	133	17	1002		
6	20	20	20	20	20	207	207	207	87	87	87	20	1002		
7	22	22	50	50	50	78	78	78	183	183	183	22	999		
8	28	28	28	28	28	221	221	221	57	57	57	28	1002		
9	30	30	0	0	0	0	0	0	303	303	303	30	999		
10	32	32	12	12	12	31	31	31	258	258	258	32	999		
11	33	33	67	67	67	100	100	100	133	133	133	33	999		
12	33	33	83	83	83	133	133	133	83	83	83	33	996		
13	33	33	100	100	100	100	100	100	100	100	100	33	999		
14	33	33	233	233	233	0	0	0	67	67	67	33	999		
15	37	37	77	77	77	125	125	125	95	95	95	37	1002		
16	42	42	73	73	73	125	125	125	93	93	93	42	999		
17	47	47	60	60	60	103	103	103	123	123	123	47	999		
18	48	48	75	75	75	118	118	118	92	92	92	48	999		
19	49	49	101	101	101	113	113	113	70	70	70	49	999		
20	50	50	117	117	117	117	117	117	50	50	50	50	1002		
21	52	52	83	83	83	115	115	115	83	83	83	52	999		
22	52	52	84	84	84	115	115	115	83	83	83	52	1002		
23	53	53	93	93	93	93	93	93	93	93	93	53	996		
24	56	56	88	88	88	98	98	98	92	92	92	56	1002		
25	56	56	93	93	93	93	93	93	93	93	93	56	1005		
26	58	58	80	80	80	93	93	93	102	102	102	58	999		
27	58	58	80	80	80	107	107	107	89	89	89	58	1002		
28	58	58	83	83	83	100	100	100	93	93	93	58	1002		
29	58	58	96	96	96	121	121	121	58	58	58	58	999		
30	61	61	48	48	48	134	134	134	90	90	90	61	999		
31	61	61	63	63	63	123	123	123	86	86	86	61	999		
32	61	61	94	94	94	117	117	117	61	61	61	61	999		
33	63	63	87	87	87	100	100	100	83	83	83	63	999		
34	63	63	99	99	99	98	98	98	73	73	73	63	999		
35	64	64	60	60	60	112	112	112	97	97	97	64	999		
