ProfNum	Hr1	Hr2	Hr3	Hr4	Hr5	Hr6	Hr7	Hr8	Hr9	Hr10	Hr11	Hr12	Hr13	Hr14	Hr15	Hr16	Hr17	Hr18	Hr19	Hr20	Hr21	Hr22	Hr23	Hr24	Total	!	Description
1	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
2	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
3	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
4	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
5	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
6	0	0	0	0	0	0	0	0	0	167	167	167	167	167	167	0	0	0	0	0	0	0	0	0	1000	!	10am - 3pm uniform
7	0	0	0	0	0	0	0	0	0	143	143	143	143	143	143	143	0	0	0	0	0	0	0	0	1000	!	10am - 4pm uniform
8	0	0	0	0	0	0	0	0	125	125	125	125	125	125	125	125	0	0	0	0	0	0	0	0	1000	!	9am - 4pm uniform
9	0	0	0	0	0	0	0	0	111	111	111	111	111	111	111	111	111	0	0	0	0	0	0	0	1000	!	9am - 5pm uniform
10	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	1000	!	8am - 5pm uniform
11	0	0	0	0	0	0	0	909	909	909	909	909	909	909	909	909	909	909	0	0	0	0	0	0	9999	!	8am - 6pm uniform
12	0	0	0	0	0	0	833	833	833	833	833	833	833	833	833	833	833	833	0	0	0	0	0	0	9996	!	7am - 6pm uniform
13	0	0	0	0	0	0	0	0	769	769	769	769	769	769	769	769	769	769	769	769	769	0	0	0	9997	!	9am - 9pm uniform
14	0	0	0	0	0	0	0	0	714	714	714	714	714	714	714	714	714	714	714	714	714	714	0	0	9996	!	9am - 10pm uniform
15	0	0	0	0	0	0	0	0	667	667	667	667	667	667	667	667	667	667	667	667	667	667	667	0	10005	!	9am - 11pm uniform
16	0	0	0	0	0	0	0	0	625	625	625	625	625	625	625	625	625	625	625	625	625	625	625	625	10000	!	9am - 12pm uniform
17	0	0	0	0	0	0	0	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	9996	!	8am - 12pm uniform
18	0	0	0	0	0	0	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	556	10008	!	7am - 12pm uniform
19	0	0	0	526	526	526	526	526	526	526	526	526	526	526	526	526	526	526	526	526	526	526	0	0	9994	!	4am - 10pm uniform
20	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0	10000	!	4am - 11pm uniform
21	0	0	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	476	0	9996	!	3am - 11pm uniform
22	0	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	455	0	10010	!	2am - 11pm uniform
23	0	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	435	10005	!	2am - 12pm uniform
24	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	417	10008	!	all day uniform
25	0	0	0	0	0	85	254	508	763	847	847	847	847	847	847	847	847	763	508	254	85	0	0	0	9996	!	
26	198	186	182	187	210	250	311	388	467	528	571	604	620	631	635	624	594	548	531	509	425	327	257	218	10001	!	
27	0	0	0	0	0	0	0	10	30	61	101	101	101	101	101	101	101	91	61	30	10	0	0	0	1000	!	
31	403	398	395	394	398	403	408	413	417	418	422	424	427	433	433	433	432	429	428	426	424	420	415	409	10002	!	
32	361	345	334	332	342	359	386	418	436	447	452	456	458	460	461	462	460	456	451	452	447	433	409	384	10001	!	
33	324	300	288	284	292	316	354	403	433	457	478	486	494	497	501	500	497	489	477	473	466	440	397	352	9998	!	
34	288	280	272	271	277	299	327	364	406	449	490	516	539	546	568	570	545	525	495	474	457	400	337	305	10000	!	
35	218	198	187	182	188	211	251	311	388	467	527	570	603	620	631	634	623	594	548	531	509	425	328	258	10002	!	
36	11	8	7	6	7	7	9	10	16	25	43	60	76	88	94	103	97	89	75	60	51	32	18	11	1000	!	
37	0	0	0	0	0	0	10	100	100	100	100	100	100	100	100	100	50	30	10	0	0	0	0	0	1000	!	
38	0	0	0	0	400	600	615	615	615	615	615	615	615	615	615	615	615	615	615	500	300	200	0	0	9995	!	
39	0	0	0	0	0	0	20	30	100	100	100	100	100	100	100	100	100	30	20	0	0	0	0	0	1000	!	
112	0	0	0	0	0	0	0	120	110	110	110	110	110	110	110	110	0	0	0	0	0	0	0	0	1000	!	
122	20	20	20	20	20	20	60	60	60	60	60	60	60	60	60	60	60	60	30	30	30	30	20	20	1000	!	
105	0	0	0	0	0	0	80	90	90	80	90	80	80	90	80	80	80	80	0	0	0	0	0	0	1000	!	
106	10	10	10	10	10	10	10	100	100	90	100	90	90	90	90	100	10	10	10	10	10	10	10	10	1000	!	
103	50	40	40	40	40	40	40	50	50	40	40	40	40	40	40	40	50	40	40	40	40	40	40	40	1000	!	
104	0	0	0	0	0	0	0	0	100	110	110	100	100	110	110	100	20	20	20	20	20	20	20	20	1000	!	
119	20	10	10	10	0	10	30	70	70	60	60	60	60	70	70	70	60	60	50	40	40	30	20	20	1000	!	
111	0	0	0	0	0	0	40	130	150	150	150	150	150	80	0	0	0	0	0	0	0	0	0	0	1000	!	
124	10	10	10	10	10	20	40	60	70	70	70	70	80	80	70	70	90	50	30	20	20	20	10	10	1000	!	
128	20	10	10	10	20	20	40	50	70	70	70	80	80	90	80	70	60	40	30	20	20	20	10	10	1000	!	
117	20	20	20	30	30	40	50	70	50	40	50	50	50	40	50	70	50	40	50	50	50	30	30	20	1000	!	
108	10	10	0	0	0	0	0	30	90	90	90	90	90	90	90	90	90	80	10	10	10	10	10	10	1000	!	
107	0	0	0	0	0	0	0	0	0	0	40	90	150	200	180	160	100	50	20	10	0	0	0	0	1000	!	
110	0	0	0	0	20	80	80	80	60	60	60	60	60	60	60	60	70	80	60	10	10	10	10	10	1000	!	
118	60	50	30	30	30	30	40	40	40	30	20	20	20	20	20	20	40	50	70	70	70	70	70	60	1000	!	
127	0	0	0	0	0	0	20	70	100	120	100	70	50	110	130	100	80	50	0	0	0	0	0	0	1000	!	
101	0	0	0	0	30	60	10	70	70	70	90	70	70	70	70	80	70	60	50	30	20	10	0	0	1000	!	
109	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	60	70	60	30	30	30	30	30	30	1000	!	
113	30	40	40	40	40	40	60	60	60	60	60	60	40	40	40	40	40	30	30	30	30	30	30	30	1000	!	
114	0	0	0	0	0	0	60	60	60	60	60	60	60	50	50	50	60	60	70	70	70	60	40	0	1000	!	
121	50	50	50	50	60	60	60	50	50	40	40	30	30	30	30	30	30	30	30	40	40	40	40	40	1000	!	
120	30	30	30	30	30	30	30	60	60	50	50	50	50	50	50	50	50	40	40	40	40	40	40	30	1000	!	
