Estado,SCC,PM10,PM25,NO2,NO,SO2 ,CO ,VOC,NH3 ,CN,CO2,CH4,GSO4,OTHER,POA
1,2201080000,9021,7979,15001,319193,20177,8020333,627436,15213,1094,121868064,14032,734,622,4356
1,2201001000,37025,32750,584480,4990061,115612,29000194,2881159,50434,9583,682104660,57692,3068,6754,22840
1,2230001000,42,38,227,2092,128,15182,1014,4,3,439502,74,21,0,14
1,2201070000,35378,31296,662258,5192642,117340,28445029,2552789,42642,8722,692674973,71668,2934,5485,21409
1,2230060000,3251,2991,4375,25874,1348,87423,8220,147,957,4656682,950,1866,27,208
1,2201020000,1214,1074,22457,180350,4035,1020073,90734,1498,315,23828827,2787,99,193,746
1,2230060000,105,98,138,883,46,2616,252,0,37,156541,30,55,0,3
1,2201070000,7510,6641,14116,180713,7020,2102930,109915,1098,979,41488753,4142,629,541,3703
1,2230070000,62057,57092,104970,694939,18427,262821,41424,945,29341,63676076,6615,24697,675,8414
1,2201040000,2889,2556,25861,248781,10174,2377545,134047,2326,539,59853587,5512,240,663,1582
1,2230060000,134458,123705,175414,747284,29663,347364,84944,2337,21563,103420263,28646,96404,1504,13829
1,2201070000,196,173,1434,13709,565,117697,6988,137,28,3327622,232,11,37,96
1,2230060000,8239,7581,9654,41760,1645,19607,4906,138,1255,5732057,1622,5893,98,928
1,2230070000,100763,92702,211834,895050,35590,286219,46901,1766,34291,125010874,18446,61015,1474,6787
1,2230070000,242044,222679,481076,2419827,86673,731093,110595,4179,99144,302760340,36093,126920,3723,20079
2,2201080000,31915,28232,62311,1325578,70200,27907179,2116865,52949,3853,424057731,48850,2598,2166,15390
2,2201001000,136518,120767,2304502,19140954,399113,121936311,10225833,175458,16455,2410902331,248622,11321,23487,65719
2,2230001000,67,63,853,7809,14,50910,3546,28,5,1549107,276,3,8,33
2,2201070000,130621,115548,2648319,20499710,405110,124187395,9545538,148352,15743,2447126551,313847,10829,19077,62879
2,2230060000,4631,4258,16661,98079,141,293229,28609,507,3076,16400249,3332,349,101,602
2,2201020000,4474,3960,89731,709174,13942,4350895,341888,5213,544,84221915,11909,370,671,2153
2,2230060000,172,160,528,3345,0,8763,878,17,119,551433,107,11,0,22
2,2201070000,28044,24804,58464,744012,24193,7318549,377457,3816,3376,146139043,14463,2349,1878,13483
2,2230070000,127627,117415,413631,2738355,1903,914210,144364,3285,91900,224167052,23082,4732,2346,15112
2,2201040000,10614,9394,106875,1012410,34998,8280332,462138,8071,1279,211416530,19299,880,2316,5108
2,2230060000,122731,112914,690901,2943374,3062,1208278,296719,8118,60384,364892619,99932,17952,5236,25177
2,2201070000,720,633,5945,56294,1943,409723,23985,479,87,11739541,811,61,146,342
2,2230060000,7581,6975,38044,164537,170,68212,17085,482,3555,20209196,5648,1096,339,1689
