kg,PM10,PM2.5,NOx,SO2,CO,VOC, NH3,CN, CO2,CH4
1001,0.773327286,0.772122619,0.75947495,0.766987542,0.78039282,0.789066274,0.785053611,0.769625934,0.78039282,0.789066274
1002,0.016789032,0.017037946,0.018257887,0.017420928,0.015638458,0.014310168,0.015493314,0.017388,0.015638458,0.014310168
1003,0.045867484,0.046002786,0.050718155,0.048359911,0.043369509,0.039590377,0.043285452,0.046729616,0.043369509,0.039590377
1004,0.006206009,0.006206426,0.006600207,0.006394203,0.005962502,0.005459583,0.006050829,0.006268282,0.005962502,0.005459583
1005,0.056655791,0.057986656,0.059179616,0.057642009,0.053062238,0.050979499,0.052487815,0.059104376,0.053062238,0.050979499
1006,0.023430369,0.022699145,0.023053117,0.023132121,0.025562473,0.027195613,0.024020785,0.022200208,0.025562473,0.027195613
1007,0.031673758,0.032148868,0.033280042,0.03213748,0.031341026,0.032233772,0.028240291,0.032555561,0.031341026,0.032233772
1008,0.005393177,0.005446185,0.005886666,0.00563501,0.005052944,0.004527125,0.005038689,0.005548176,0.005052944,0.004527125
1009,0.010135754,0.01015889,0.011189863,0.010699087,0.009685578,0.008933976,0.009498898,0.010310583,0.009685578,0.008933976
1010,0.010595928,0.01062661,0.011819334,0.011251902,0.009979729,0.008935739,0.010041754,0.010803725,0.009979729,0.008935739
1011,0.019925412,0.019563868,0.020540162,0.020339807,0.019952722,0.018767874,0.020788563,0.019465539,0.019952722,0.018767874
2001,0.151254284,0.156176856,0.160452357,0.143923417,0.162017283,0.14336989,0.136584058,0.161107333,0.162017283,0.14336989
2002,0.338186507,0.338748495,0.299541608,0.336831107,0.3239726,0.323082213,0.337147179,0.339733873,0.3239726,0.323082213
2003,0.041208222,0.041990597,0.042067645,0.040007815,0.04438692,0.044720626,0.037854059,0.042169727,0.04438692,0.044720626
2004,0.435819608,0.428506207,0.464925162,0.44720234,0.436200915,0.454904122,0.457746043,0.421299545,0.436200915,0.454904122
2005,0.033531379,0.034577845,0.033013228,0.032035322,0.033422282,0.033923149,0.03066866,0.035689523,0.033422282,0.033923149
3001,0.164080257,0.163926788,0.168963505,0.17088051,0.171224685,0.166447523,0.168081106,0.164280884,0.171224685,0.166447523
3002,0.034113712,0.033811033,0.034788801,0.03507235,0.035279484,0.034474778,0.035273438,0.033614434,0.035279484,0.034474777
3003,0.398947565,0.400450544,0.394647695,0.391130163,0.385578453,0.388769775,0.396814095,0.402789117,0.385578453,0.388769775
3008,0.382148798,0.380884005,0.380815991,0.381905652,0.386655483,0.389501457,0.379104178,0.378177814,0.386655483,0.389501457
3009,0.020709668,0.02092763,0.020784009,0.021011324,0.021261895,0.020806468,0.020727181,0.021137751,0.021261895,0.020806468
4001,0.03838951,0.037567643,0.030166344,0.031571163,0.042402749,0.052050716,0.030451237,0.035285997,0.042402749,0.052050716
4002,0.435798797,0.441354566,0.434284231,0.426528032,0.424835702,0.439981299,0.41669073,0.446332419,0.424835702,0.439981299
4003,0.319221895,0.309866554,0.333931583,0.335318952,0.321153184,0.301593442,0.360295756,0.30416206,0.321153184,0.301593442
4004,0.073378112,0.075491592,0.067692583,0.068600936,0.075249128,0.080991767,0.060992503,0.076241375,0.075249128,0.080991767
4005,0.013659986,0.013527472,0.012730963,0.013176646,0.014236493,0.014543967,0.013431641,0.013273313,0.014236493,0.014543967
4006,0.018993762,0.019224616,0.019602924,0.020332191,0.01939804,0.016881914,0.01996981,0.019542101,0.01939804,0.016881914
4007,0.006559477,0.006372537,0.006298901,0.006737086,0.007138955,0.006681582,0.007186102,0.006146497,0.007138955,0.006681582
4008,0.00364348,0.003616736,0.00368903,0.003914793,0.003874628,0.003271512,0.004079404,0.003594833,0.003874628,0.003271512
4009,0.056298748,0.057903704,0.0546841,0.056074957,0.05791062,0.056851246,0.050693288,0.058935243,0.05791062,0.056851246
4010,0.008063523,0.008021231,0.008470447,0.008846407,0.008383741,0.007006185,0.009008243,0.008037965,0.008383741,0.007006185
4011,0.025992711,0.027053347,0.028448895,0.028898836,0.025416759,0.02014637,0.027201285,0.028448198,0.025416759,0.02014637
