LATITUD,LONGITUD,SCC,ANNPM10 ,ANNPM25 ,ANNSO2  ,ANNCO ,ANNNOX ,ANNVOC,ANNCO2,ANNCH4,ANNNH3,ANNCN,Cap 6 -18,Capa  18-06
20.06038,-99.27396,10100401,2126.598017,1858.206267,39050.203,340.7100676,2628.115695,47.71991645,1559128.158,74.32085539,48.87620673,113.6707708,8,8
21.01539,-97.33214,10100401,2034.499045,1790.183841,36836.81353,275.8789606,2781.752875,46.04914372,1402107.492,59.28339316,47.42447028,98.24822775,8,8
21.01539,-97.33214,10100401,1953.458759,1718.875373,35369.49119,264.8898624,2670.947196,44.21486624,1346257.285,56.92195527,45.53540936,94.33470197,8,8
20.06038,-99.27396,10100401,1650.856099,1442.506353,33894.5514,248.7640146,2562.5994,34.84193489,1138372.524,54.26418563,35.68618178,88.24144658,8,8
17.98565,-102.11234,10100101,164.504155,71.60105289,32943.31865,238.333155,5212.479876,117.9227835,2373917.816,29.60400805,0.363572485,9.096994148,8,8
21.01539,-97.33214,10100401,1689.129586,1486.288478,30583.5246,229.0467108,2309.532213,38.23200176,1164090.616,49.21965119,39.37385768,81.56995142,8,8
19.02667,-104.32056,10100401,1354.2863,978.0384,29608.83,231.29,1574.4117,37.3777,1250833.219,1266.5425,39.4049,,8,8
19.02667,-104.32056,10100401,1093.2473,789.5414,29132.11,396.06,1270.1378,30.1658,1008833.372,1021.0717,31.7766,,8,8
21.01539,-97.33214,10100401,1600.382814,1408.198966,28976.66797,217.0126097,2188.189522,36.22329457,1102929.362,46.63365353,37.30515744,77.28427083,8,8
20.06038,-99.27396,10100401,1500.011101,1310.699063,28506.29818,330.3664444,2768.787377,46.27118663,1511794.557,72.06454717,47.39237308,80.17849012,8,8
28.46667,-100.68333,10100101,617.0447712,267.6097867,28223.58811,237.6557339,3103.993901,123.2470267,1883676.241,28.14224088,0.434525571,2.683999653,8,8
