GRIDCODE,LONG,LATITUDE,Huso,Pob
0,-116.620885,14.169697,6,0
1,-116.538572,14.177889,6,0
2,-116.45625,14.186036,6,0
3,-116.373918,14.194137,6,0
4,-116.291577,14.202192,6,0
5,-116.209226,14.210201,6,0
6,-116.126866,14.218164,6,0
7,-116.044497,14.226081,6,0
8,-115.962118,14.233951,6,0
9,-115.87973,14.241776,6,0
10,-115.797333,14.249555,6,0
11,-115.714927,14.257288,6,0
12,-115.632512,14.264975,6,0
13,-115.550087,14.272616,6,0
14,-115.467654,14.280211,6,0
15,-115.385212,14.28776,6,0
16,-115.30276,14.295262,6,0
17,-115.2203,14.302719,6,0
18,-115.137832,14.310129,6,0
19,-115.055354,14.317494,6,0
20,-114.972868,14.324812,6,0
21,-114.890373,14.332084,6,0
22,-114.80787,14.33931,6,0
23,-114.725358,14.34649,6,0
24,-114.642838,14.353624,6,0
25,-114.560309,14.360712,6,0
26,-114.477772,14.367753,6,0
27,-114.395227,14.374748,6,0
28,-114.312674,14.381697,6,0
29,-114.230112,14.3886,6,0
30,-114.147542,14.395457,6,0
31,-114.064964,14.402267,6,0
32,-113.982378,14.409032,6,0
33,-113.899785,14.41575,6,0
34,-113.817183,14.422421,6,0
35,-113.734573,14.429047,6,0
36,-113.651956,14.435626,6,0
37,-113.569331,14.442159,6,0
38,-113.486698,14.448646,6,0
39,-113.404057,14.455086,6,0
40,-113.321409,14.46148,6,0
41,-113.238753,14.467828,6,0
42,-113.15609,14.474129,6,0
43,-113.07342,14.480384,6,0
44,-112.990742,14.486593,6,0
45,-112.908057,14.492755,6,0
46,-112.825364,14.498872,6,0
47,-112.742664,14.504941,6,0
48,-112.659957,14.510965,6,0
49,-112.577243,14.516942,6,0
50,-112.494522,14.522872,6,0
51,-112.411794,14.528756,6,0
52,-112.329059,14.534594,6,0
53,-112.246318,14.540386,6,0
54,-112.163569,14.54613,6,0
55,-112.080813,14.551829,6,0
56,-111.998051,14.557481,6,0
57,-111.915282,14.563087,6,0
58,-111.832507,14.568646,6,0
59,-111.749725,14.574159,6,0
60,-111.666936,14.579625,6,0
61,-111.584141,14.585045,6,0
62,-111.50134,14.590418,6,0
63,-111.418532,14.595745,6,0
64,-111.335718,14.601026,6,0
65,-111.252898,14.606259,6,0
66,-111.170071,14.611447,6,0
67,-111.087239,14.616588,6,0
68,-111.0044,14.621682,6,0
69,-110.921555,14.62673,6,0
70,-110.838705,14.631731,6,0
71,-110.755848,14.636686,6,0
72,-110.672986,14.641594,6,0
73,-110.590118,14.646456,6,0
74,-110.507244,14.651271,6,0
75,-110.424364,14.656039,6,0
76,-110.341479,14.660761,6,0
77,-110.258588,14.665437,6,0
78,-110.175692,14.670065,6,0
79,-110.09279,14.674647,6,0
80,-110.009883,14.679183,6,0
81,-109.92697,14.683672,6,0
82,-109.844052,14.688114,6,0
83,-109.761129,14.69251,6,0
84,-109.678201,14.696859,6,0
85,-109.595267,14.701162,6,0
86,-109.512329,14.705417,6,0
87,-109.429385,14.709627,6,0
88,-109.346437,14.713789,6,0
89,-109.263483,14.717905,6,0
90,-109.180525,14.721974,6,0
91,-109.097562,14.725997,6,0
92,-109.014594,14.729973,6,0
93,-108.931621,14.733902,6,0
94,-108.848644,14.737785,6,0
95,-108.765662,14.74162,6,0
96,-108.682675,14.74541,6,0
97,-108.599685,14.749152,6,0
98,-108.516689,14.752848,6,0
99,-108.43369,14.756497,6,0
100,-108.350686,14.760099,6,0
101,-108.267678,14.763655,6,0
102,-108.184665,14.767164,6,0
103,-108.101649,14.770626,6,0
104,-108.018628,14.774042,6,0
105,-107.935603,14.77741,6,0
106,-107.852574,14.780732,6,0
107,-107.769542,14.784008,6,0
108,-107.686505,14.787236,6,0
109,-107.603465,14.790418,6,0
110,-107.520421,14.793553,6,0
