LATC,LONC,SCC,ANNCO ,ANNNOX ,ANNPM10 ,ANNPM25 ,ANNSO2 ,ANNNH3,ANNVOC,Capa
14.69805556,-92.38916667,10201001,0.0868032,0.417076,0.0338416,0.0335302,0.098200042,0.0138,0.847892134,1
14.8303785,-92.19565601,10200501,0.0081,0.0323,0.0016,0.0004,0,0.0013,0,1
14.8303785,-92.19565601,10200501,0.0081,0.0323,0.0016,0.0004,0.0092,0.0013,0,1
14.83143854,-92.19376944,10200501,0.0246,0.0984,0.0049,0.0012,0.027949553,0.0039,0.001,1
14.83143854,-92.19376944,10200501,0.0164,0.0656,0.0033,0.0008,0.0186,0.0026,0.0007,1
14.88199764,-92.28279582,40200701,,,,,,,,1
14.88199764,-92.28279582,40200701,,,,,,,,1
15.08910248,-92.49603325,10200401,45.0493,27.0098,277.0361,158.0939,0,0,0,2
15.08910248,-92.49603325,10200401,52.2516,31.4905,321.3152,183.3777,2.204,0.003,0,2
15.08910248,-92.49603325,10200401,52.9986,31.7758,325.9208,185.9906,0,0,0,2
15.08910248,-92.49603325,10200401,48.8473,29.2869,300.3921,171.4223,0,0,0,2
15.08910248,-92.49603325,10200401,48.0395,28.9507,295.4135,168.5953,2.0083,0.0027,0,2
15.24083333,-92.68694444,10201101,8.3628,5.014,51.428,29.348,0,9.66,22.08,1
15.44168333,-92.89224994,10201101,5.6724,3.4009,34.8829,19.9064,,6.552252,14.976576,2
15.44168333,-92.89224994,10201101,5.6724,3.4009,34.8829,19.9064,,6.552252,14.976576,2
15.44168333,-92.89224994,10201101,5.5449,3.3245,34.099,19.459,,6.405,14.64,2
15.75361111,-96.26333333,30501110,0.001,0.0058,0.0002,0.0002,1.06E-07,,0.0001,1
15.9125,-99.17055556,10200501,0.1195,0.478,0.0239,0.006,1.0182,0.0191,0.0048,1
15.9125,-99.17055556,10200501,0.1193,0.4772,0.0239,0.006,1.0164,0.0191,0.0048,1
16.15948,-95.21341,10201001,0.216276883,1.274488776,0.038620872,0.038620872,2.26E-05,0.022153361,0.024852525,1
16.20653,-95.17579,10100401,18.23804252,171.4375997,100.4675401,72.55749883,2176.163233,2.913865995,3.012428132,3
16.20653,-95.17579,10100401,35.53072186,99.40142424,3.214684358,3.214684358,0.25379087,1.355113181,2.326416312,3
16.20653,-95.17579,10100401,4.548672168,66.15903353,30.17445378,19.65337506,542.7475631,0.726734853,0.924697617,4
16.20653,-95.17579,10100401,16.09626413,,1.456328659,1.456328659,0.114973315,0.61389858,1.053922056,4
16.20653,-95.17579,10100401,18.83191867,177.0200355,103.7390137,74.92015195,2247.024535,3.008748739,3.110520305,4
16.20653,-95.17579,10100401,39.25421875,109.8183501,3.551572173,3.551572173,0.280387277,1.49712436,2.570216704,4
16.20653,-95.17579,10100401,6.81213402,64.03405979,37.52586643,27.1011215,812.8238313,1.088364919,1.125179094,3
16.20653,-95.17579,10100401,16.38128554,45.82859644,1.48211631,1.48211631,0.117009182,0.624769067,1.072584172,3
16.20653,-95.17579,10100401,3.148548026,34.63402829,20.88647267,13.60388108,375.6847505,0.50303902,0.64006698,2
16.20653,-95.17579,10100401,6.563159232,7.8132848,0.593809645,0.593809645,0.046879709,0.250313619,0.429730664,2
16.20653,-95.17579,10100401,0.405112836,4.456241196,2.687390538,1.750364549,48.33806359,0.064724299,0.082355215,5
16.20653,-95.17579,10100401,10.27904237,12.2369552,0.930008595,0.930008595,0.073421731,0.392034416,0.673032536,5
16.20653,-95.17579,10100401,0.32415704,3.565727444,2.150355372,1.400580138,38.67841806,0.051790107,0.065897746,2
16.20653,-95.17579,10100401,8.225392896,9.7921344,0.744202214,0.744202214,0.058752806,0.313709875,0.538567392,2
16.20653,-95.17579,10100401,0.447999281,13.4511346,2.971885661,1.935663325,53.45527419,0.071576205,0.091073582,2
16.20653,-95.17579,10100401,11.36756678,,1.028494138,1.028494138,0.081196906,0.433549863,0.744304968,2
16.20653,-95.17579,10100401,0.033710119,0.370811311,0.223622278,0.145650773,4.022291423,0.005385818,0.006852916,2
16.20653,-95.17579,10100401,44.18363443,52.5995648,3.997566925,3.997566925,0.315597389,1.685128313,2.892976064,2
16.20653,-95.17579,10100401,0.003014261,0.033156869,0.019995654,0.013023668,0.359661599,0.000481584,0.000612768,1
16.20653,-95.17579,10100401,4.285272768,5.1015152,0.387715155,0.387715155,0.030609091,0.16343686,0.280583336,1
16.20653,-95.17579,10100401,0.497696429,14.70307914,3.301560837,2.150388997,59.38513788,0.079516247,0.101176494,2
16.20653,-95.17579,10100401,10.40718605,0,0.941602547,0.941602547,0.074337043,0.396921713,0.681422896,2
16.20653,-95.17579,10100401,0.491858683,5.410445515,3.262835077,2.125165943,58.68857808,0.078583559,0.099989741,2
16.20653,-95.17579,10100401,10.28474899,12.2437488,0.930524909,0.930524909,0.073462493,0.392252062,0.673406184,2
16.20653,-95.17579,10100401,0.680679229,13.37909941,4.515410912,2.940999855,81.21864563,0.108751148,0.138374989,2
16.20653,-95.17579,10100401,12.33817536,,1.116311104,1.116311104,0.088129824,0.470568094,0.80785672,2
16.20653,-95.17579,10100401,0.67367775,22.9593124,4.468965311,2.910748676,80.38322913,0.107632532,0.136951661,2
16.20653,-95.17579,10100401,12.19295347,14.5154208,1.103171981,1.103171981,0.087092525,0.465029448,0.798348144,2
16.20653,-95.17579,10100401,16.25691514,13.19694364,1.47086375,1.47086375,0.116120822,0.62002568,1.064440872,1
16.20653,-95.17579,10100401,22.30302682,26.5512224,2.017892902,2.017892902,0.159307334,0.850619521,1.460317232,1
16.20653,-95.17579,10100401,7.489140288,8.9156432,0.677588883,0.677588883,0.053493859,0.285629793,0.490360376,1
16.20653,-95.17579,10100401,13.57178458,16.1568864,1.227923366,1.227923366,0.096941318,0.517616958,0.888628752,1
16.20653,-95.17579,10100401,5.639157323,126.1747305,31.06431316,22.43459793,672.8642518,0.900960108,0.931435276,2
16.20653,-95.17579,10100401,55.33329312,154.8014748,5.006345568,5.006345568,0.395237808,2.110367336,3.62301324,2
16.20653,-95.17579,10100401,0.601602577,6.617628349,3.990841391,2.59933463,71.78321951,0.096117184,0.12229953,2
