SCC,Pollutant Name/Species Type,Profile
0,PM2_5,99999
10100101,PM2_5,22101
10100201,PM2_5,22101
10100202,PM2_5,22101
10100203,PM2_5,22101
10100204,PM2_5,22101
10100205,PM2_5,22101
10100211,PM2_5,22101
10100212,PM2_5,22101
10100215,PM2_5,22101
10100217,PM2_5,22101
10100218,PM2_5,22101
10100221,PM2_5,22101
10100222,PM2_5,22101
10100223,PM2_5,22101
10100224,PM2_5,22101
10100225,PM2_5,22101
10100226,PM2_5,22101
10100235,PM2_5,22101
10100238,PM2_5,22101
10100300,PM2_5,22101
10100301,PM2_5,22101
10100302,PM2_5,22101
10100303,PM2_5,22101
10100304,PM2_5,22101
10100306,PM2_5,22101
10100316,PM2_5,22101
10100317,PM2_5,22101
10100318,PM2_5,22101
10100401,PM2_5,22102
10100404,PM2_5,22102
10100405,PM2_5,22102
10100406,PM2_5,22102
10100501,PM2_5,22103
10100504,PM2_5,22103
10100505,PM2_5,22103
10100601,PM2_5,22004
10100602,PM2_5,22004
10100604,PM2_5,22004
10100701,PM2_5,22004
10100702,PM2_5,22004
10100801,PM2_5,22001
10100902,PM2_5,22008
10100903,PM2_5,22008
10101002,PM2_5,22004
10101201,PM2_5,22007
10200060,PM2_5,99999
10200101,PM2_5,22001
10200102,PM2_5,22001
10200104,PM2_5,22001
10200107,PM2_5,22001
10200201,PM2_5,22101
10200202,PM2_5,22101
10200203,PM2_5,22101
10200204,PM2_5,22101
10200205,PM2_5,22101
10200206,PM2_5,22101
10200210,PM2_5,22101
10200212,PM2_5,22101
10200213,PM2_5,22101
10200217,PM2_5,22101
10200218,PM2_5,22101
10200219,PM2_5,22101
10200221,PM2_5,22101
10200222,PM2_5,22101
10200223,PM2_5,22101
10200224,PM2_5,22101
10200225,PM2_5,22101
10200226,PM2_5,22101
10200229,PM2_5,22101
10200300,PM2_5,22101
10200301,PM2_5,22101
10200302,PM2_5,22101
10200303,PM2_5,22101
10200304,PM2_5,22101
10200306,PM2_5,22101
10200307,PM2_5,22101
10200401,PM2_5,22102
10200402,PM2_5,22102
10200403,PM2_5,22102
10200404,PM2_5,22102
10200405,PM2_5,22102
10200406,PM2_5,22102
10200501,PM2_5,22103
10200502,PM2_5,22103
10200503,PM2_5,22103
10200504,PM2_5,22103
10200505,PM2_5,22103
10200601,PM2_5,22004
10200602,PM2_5,22004
10200603,PM2_5,22004
10200604,PM2_5,22004
10200699,PM2_5,22004
